"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 11 10:33:12 CST 2025","Tue Nov 11 10:33:12 CST 2025","97","test_vps","test_delete","TestDeleteUser","","","数据库校验-组别列表-删除VPS组别",""
"passed","Tue Nov 11 10:33:17 CST 2025","Tue Nov 11 10:33:23 CST 2025","6594","test_vps","test_delete","TestDeleteUser","","","跟单软件看板-VPS数据-批量删除跟单账号",""
"passed","Tue Nov 11 10:33:36 CST 2025","Tue Nov 11 10:33:38 CST 2025","1533","test_vps","test_delete","TestDeleteUser","","","账号管理-账号列表-删除账号","测试删除用户接口"
"passed","Tue Nov 11 10:33:29 CST 2025","Tue Nov 11 10:33:31 CST 2025","1544","test_vps","test_delete","TestDeleteUser","","","平台管理-品种管理-删除品种","测试删除用户接口"
"passed","Tue Nov 11 10:33:39 CST 2025","Tue Nov 11 10:33:49 CST 2025","10493","test_vps","test_delete","TestDeleteUser","","","账号管理-账号列表-批量删除账号","测试批量删除用户接口"
"passed","Tue Nov 11 10:33:31 CST 2025","Tue Nov 11 10:33:31 CST 2025","173","test_vps","test_delete","TestDeleteUser","","","数据库校验-品种管理-删除品种",""
"passed","Tue Nov 11 10:33:15 CST 2025","Tue Nov 11 10:33:15 CST 2025","152","test_vps","test_delete","TestDeleteUser","","","数据库校验-VPS数据-删除跟单账号",""
"skipped","Tue Nov 11 10:33:12 CST 2025","Tue Nov 11 10:33:12 CST 2025","0","test_vps","test_delete","TestDeleteUser","","","VPS管理-VPS列表列表-删除VPS数据",""
"skipped","Tue Nov 11 10:33:12 CST 2025","Tue Nov 11 10:33:12 CST 2025","0","test_vps","test_delete","TestDeleteUser","","","VPS管理-VPS列表列表-强制删除VPS",""
"passed","Tue Nov 11 10:33:35 CST 2025","Tue Nov 11 10:33:35 CST 2025","173","test_vps","test_delete","TestDeleteUser","","","数据库校验-品种管理-删除品种2",""
"passed","Tue Nov 11 10:33:38 CST 2025","Tue Nov 11 10:33:38 CST 2025","96","test_vps","test_delete","TestDeleteUser","","","数据库校验-账号列表-删除账号",""
"skipped","Tue Nov 11 10:33:12 CST 2025","Tue Nov 11 10:33:12 CST 2025","0","test_vps","test_delete","TestDeleteUser","","","VPS管理-VPS列表列表-清空VPS数据",""
"passed","Tue Nov 11 10:33:33 CST 2025","Tue Nov 11 10:33:35 CST 2025","1569","test_vps","test_delete","TestDeleteUser","","","平台管理-品种管理-删除品种2","测试删除用户接口"
"skipped","Tue Nov 11 10:33:12 CST 2025","Tue Nov 11 10:33:12 CST 2025","0","test_vps","test_delete","TestDeleteUser","","","数据库校验-VPS列表列表-删除VPS",""
"passed","Tue Nov 11 10:33:25 CST 2025","Tue Nov 11 10:33:27 CST 2025","1211","test_vps","test_delete","TestDeleteUser","","","跟单软件看板-VPS数据-删除策略账号",""
"passed","Tue Nov 11 10:33:49 CST 2025","Tue Nov 11 10:33:50 CST 2025","715","test_vps","test_delete","TestDeleteUser","","","数据库校验-账号列表-批量删除账号","数据库校验批量删除结果"
"passed","Tue Nov 11 10:33:23 CST 2025","Tue Nov 11 10:33:24 CST 2025","889","test_vps","test_delete","TestDeleteUser","","","数据库校验-VPS数据-批量删除跟单账号",""
"passed","Tue Nov 11 10:33:14 CST 2025","Tue Nov 11 10:33:15 CST 2025","1210","test_vps","test_delete","TestDeleteUser","","","跟单软件看板-VPS数据-删除跟单账号",""
"passed","Tue Nov 11 10:33:27 CST 2025","Tue Nov 11 10:33:27 CST 2025","111","test_vps","test_delete","TestDeleteUser","","","数据库校验-VPS数据-删除策略账号",""
"passed","Tue Nov 11 10:33:10 CST 2025","Tue Nov 11 10:33:12 CST 2025","1527","test_vps","test_delete","TestDeleteUser","","","账号管理-组别列表-删除VPS组别",""
