"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 03 10:14:56 CST 2025","Thu Jul 03 10:14:56 CST 2025","50","test_youhua","test_create","TestCreate","","","数据库校验-VPS列表-新增vps",""
"passed","Thu Jul 03 10:14:41 CST 2025","Thu Jul 03 10:14:46 CST 2025","5070","test_youhua","test_create","TestCreate","","","VPS管理-VPS列表-校验服务器IP是否可用",""
"passed","Thu Jul 03 10:14:29 CST 2025","Thu Jul 03 10:14:29 CST 2025","49","test_youhua","test_create","TestCreate","","","数据库校验-组别列表-新增VPS组别",""
"passed","Thu Jul 03 10:15:13 CST 2025","Thu Jul 03 10:15:13 CST 2025","103","test_youhua","test_create","TestCreate","","","数据库校验-VPS数据-新增跟单账号",""
"passed","Thu Jul 03 10:15:14 CST 2025","Thu Jul 03 10:16:03 CST 2025","49741","test_youhua","test_create","TestCreate","","","新增跟单账号（仅使用后6个数据与模板匹配）",""
"passed","Thu Jul 03 10:15:05 CST 2025","Thu Jul 03 10:15:13 CST 2025","8190","test_youhua","test_create","TestCreate","","","跟单软件看板-VPS数据-新增跟单账号",""
"passed","Thu Jul 03 10:14:29 CST 2025","Thu Jul 03 10:14:34 CST 2025","5118","test_youhua","test_create","TestCreate","","","平台管理-品种管理-添加品种",""
"skipped","Thu Jul 03 10:14:56 CST 2025","Thu Jul 03 10:14:56 CST 2025","0","test_youhua","test_create","TestCreate","","","VPS管理-VPS列表-获取要复制的VPS的ID",""
"passed","Thu Jul 03 10:14:24 CST 2025","Thu Jul 03 10:14:29 CST 2025","5087","test_youhua","test_create","TestCreate","","","账号管理-组别列表-新增VPS组别","验证数据库"
"passed","Thu Jul 03 10:12:43 CST 2025","Thu Jul 03 10:12:48 CST 2025","5067","test_youhua","test_create","TestCreate","","","账号管理-账号列表-新增单个用户",""
"skipped","Thu Jul 03 10:16:03 CST 2025","Thu Jul 03 10:16:03 CST 2025","0","test_youhua","test_create","TestCreate","","","数据库校验-VPS数据-批量新增跟单账号",""
"skipped","Thu Jul 03 10:14:56 CST 2025","Thu Jul 03 10:14:56 CST 2025","0","test_youhua","test_create","TestCreate","","","VPS管理-VPS列表-复制默认节点",""
"passed","Thu Jul 03 10:14:40 CST 2025","Thu Jul 03 10:14:41 CST 2025","399","test_youhua","test_create","TestCreate","","","数据库校验-品种管理-添加品种",""
"passed","Thu Jul 03 10:14:56 CST 2025","Thu Jul 03 10:15:05 CST 2025","8726","test_youhua","test_create","TestCreate","","","跟单软件看板-VPS数据-新增策略账号",""
"passed","Thu Jul 03 10:14:46 CST 2025","Thu Jul 03 10:14:51 CST 2025","5068","test_youhua","test_create","TestCreate","","","VPS管理-VPS列表-获取可见用户信息",""
"passed","Thu Jul 03 10:14:51 CST 2025","Thu Jul 03 10:14:56 CST 2025","5115","test_youhua","test_create","TestCreate","","","VPS管理-VPS列表-新增vps",""
"passed","Thu Jul 03 10:14:18 CST 2025","Thu Jul 03 10:14:24 CST 2025","5551","test_youhua","test_create","TestCreate","","","账号管理-账号列表-批量新增用户","验证数据库"
"passed","Thu Jul 03 10:14:34 CST 2025","Thu Jul 03 10:14:35 CST 2025","540","test_youhua","test_create","TestCreate","","","数据库校验-品种管理-添加品种",""
"passed","Thu Jul 03 10:14:35 CST 2025","Thu Jul 03 10:14:40 CST 2025","5128","test_youhua","test_create","TestCreate","","","平台管理-品种管理-添加品种",""
"passed","Thu Jul 03 10:14:24 CST 2025","Thu Jul 03 10:14:24 CST 2025","55","test_youhua","test_create","TestCreate","","","数据库校验-账号列表-批量新增用户",""
"passed","Thu Jul 03 10:15:05 CST 2025","Thu Jul 03 10:15:05 CST 2025","49","test_youhua","test_create","TestCreate","","","数据库校验-VPS数据-新增策略账号",""
"passed","Thu Jul 03 10:12:48 CST 2025","Thu Jul 03 10:14:18 CST 2025","90060","test_youhua","test_create","TestCreate","","","数据库校验-账号列表-新增用户",""
