"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 01 15:53:28 CST 2025","Mon Sep 01 15:53:29 CST 2025","1830","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","账号管理-账号列表-批量下架VPS（后9个账号）",""
"passed","Mon Sep 01 15:53:21 CST 2025","Mon Sep 01 15:53:22 CST 2025","1569","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","云策略-云策略列表-删除云策略manager账号",""
"passed","Mon Sep 01 15:54:25 CST 2025","Mon Sep 01 15:54:26 CST 2025","1519","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","账号管理-组别列表-删除云策略组别",""
"passed","Mon Sep 01 15:53:43 CST 2025","Mon Sep 01 15:53:44 CST 2025","1184","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","跟单软件看板-VPS数据-删除策略账号",""
"passed","Mon Sep 01 15:53:16 CST 2025","Mon Sep 01 15:53:16 CST 2025","104","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-云策略列表-删除云跟单账号",""
"passed","Mon Sep 01 15:53:26 CST 2025","Mon Sep 01 15:53:26 CST 2025","103","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-云策略列表-删除云策略账号",""
"passed","Mon Sep 01 15:53:30 CST 2025","Mon Sep 01 15:53:31 CST 2025","1297","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-VPS数据-验证账号是否下架成功（后9个账号）",""
"passed","Mon Sep 01 15:53:18 CST 2025","Mon Sep 01 15:53:19 CST 2025","1517","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","云策略-云策略列表-删除云跟单账号-手动下单",""
"passed","Mon Sep 01 15:53:46 CST 2025","Mon Sep 01 15:54:01 CST 2025","15183","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","账号管理-账号列表-批量删除账号","测试批量删除用户接口"
"passed","Mon Sep 01 15:54:16 CST 2025","Mon Sep 01 15:54:17 CST 2025","172","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-品种管理-删除品种",""
"passed","Mon Sep 01 15:53:14 CST 2025","Mon Sep 01 15:53:16 CST 2025","1547","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","云策略-云策略列表-删除云跟单账号",""
"passed","Mon Sep 01 15:54:02 CST 2025","Mon Sep 01 15:54:03 CST 2025","997","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-账号列表-批量删除账号","数据库校验批量删除结果"
"passed","Mon Sep 01 15:54:15 CST 2025","Mon Sep 01 15:54:16 CST 2025","1523","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","平台管理-品种管理-删除品种","测试删除用户接口"
"passed","Mon Sep 01 15:53:24 CST 2025","Mon Sep 01 15:53:26 CST 2025","1519","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","云策略-云策略列表-删除云策略账号",""
"passed","Mon Sep 01 15:54:22 CST 2025","Mon Sep 01 15:54:23 CST 2025","1521","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","云策略-云策略列表-删除云策略-手动下单",""
"passed","Mon Sep 01 15:54:27 CST 2025","Mon Sep 01 15:54:27 CST 2025","103","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-组别列表-删除云策略组别",""
"passed","Mon Sep 01 15:53:23 CST 2025","Mon Sep 01 15:53:23 CST 2025","102","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-云策略列表-删除云策略manager账号",""
"passed","Mon Sep 01 15:54:23 CST 2025","Mon Sep 01 15:54:24 CST 2025","106","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-云策略列表-删除云策略-手动下单",""
"passed","Mon Sep 01 15:53:19 CST 2025","Mon Sep 01 15:53:20 CST 2025","96","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-云策略列表-删除云跟单账号-手动下单",""
"passed","Mon Sep 01 15:54:18 CST 2025","Mon Sep 01 15:54:20 CST 2025","1539","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","云策略-云策略列表-删除云策略",""
"passed","Mon Sep 01 15:53:45 CST 2025","Mon Sep 01 15:53:45 CST 2025","101","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-VPS数据-删除策略账号",""
"passed","Mon Sep 01 15:54:20 CST 2025","Mon Sep 01 15:54:20 CST 2025","110","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-云策略列表-删除云策略",""
