"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 14 13:47:13 CST 2025","Thu Aug 14 13:47:13 CST 2025","98","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-云策略列表-删除云策略跟单账号",""
"passed","Thu Aug 14 13:47:26 CST 2025","Thu Aug 14 13:47:27 CST 2025","1298","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","跟单软件看板-VPS数据-删除策略账号",""
"failed","Thu Aug 14 13:47:10 CST 2025","Thu Aug 14 13:47:10 CST 2025","1","test_cloudTrader","test_delete_scene","TestDelete_cloudTrader","","","数据库校验-云策略列表-批量删除云策略跟单账号",""
"passed","Thu Aug 14 13:47:48 CST 2025","Thu Aug 14 13:47:50 CST 2025","1536","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","平台管理-品种管理-删除品种","测试删除用户接口"
"passed","Thu Aug 14 13:47:55 CST 2025","Thu Aug 14 13:47:57 CST 2025","1542","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","账号管理-组别列表-删除云策略组别",""
"failed","Thu Aug 14 13:47:09 CST 2025","Thu Aug 14 13:47:09 CST 2025","1","test_cloudTrader","test_delete_scene","TestDelete_cloudTrader","","","云策略-云策略列表-批量删除云策略跟单账号",""
"passed","Thu Aug 14 13:47:19 CST 2025","Thu Aug 14 13:47:19 CST 2025","92","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-云策略列表-删除云策略账号",""
"passed","Thu Aug 14 13:47:23 CST 2025","Thu Aug 14 13:47:24 CST 2025","1314","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-VPS数据-验证账号是否下架成功（后9个账号）",""
"passed","Thu Aug 14 13:47:50 CST 2025","Thu Aug 14 13:47:50 CST 2025","164","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-品种管理-删除品种",""
"passed","Thu Aug 14 13:47:14 CST 2025","Thu Aug 14 13:47:16 CST 2025","1552","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","云策略-云策略列表-删除云策略manager账号",""
"passed","Thu Aug 14 13:47:28 CST 2025","Thu Aug 14 13:47:46 CST 2025","17282","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","账号管理-账号列表-批量删除账号","测试批量删除用户接口"
"passed","Thu Aug 14 13:47:46 CST 2025","Thu Aug 14 13:47:47 CST 2025","1010","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-账号列表-批量删除账号","数据库校验批量删除结果"
"passed","Thu Aug 14 13:47:21 CST 2025","Thu Aug 14 13:47:23 CST 2025","1797","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","账号管理-账号列表-批量下架VPS（后9个账号）",""
"passed","Thu Aug 14 13:47:16 CST 2025","Thu Aug 14 13:47:16 CST 2025","92","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-云策略列表-删除云策略manager账号",""
"passed","Thu Aug 14 13:47:51 CST 2025","Thu Aug 14 13:47:53 CST 2025","1541","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","云策略-云策略列表-删除云策略",""
"passed","Thu Aug 14 13:47:27 CST 2025","Thu Aug 14 13:47:27 CST 2025","92","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-VPS数据-删除策略账号",""
"passed","Thu Aug 14 13:47:57 CST 2025","Thu Aug 14 13:47:57 CST 2025","93","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-组别列表-删除云策略组别",""
"passed","Thu Aug 14 13:47:53 CST 2025","Thu Aug 14 13:47:53 CST 2025","91","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-云策略列表-删除云策略",""
"passed","Thu Aug 14 13:47:18 CST 2025","Thu Aug 14 13:47:19 CST 2025","1565","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","云策略-云策略列表-删除云策略账号",""
"passed","Thu Aug 14 13:47:11 CST 2025","Thu Aug 14 13:47:13 CST 2025","1532","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","云策略-云策略列表-删除云策略跟单账号",""
