"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","交易下单-manager账号云策略复制下单-漏开","","0","0","15","0","0"
"","交易下单-云策略复制下单-漏开","","0","0","15","0","0"
"","云策略策略下单-跟单修改模式、品种","","0","0","11","0","0"
"","云策略-分配下单","","0","0","4","0","0"
"","删除基本账号-云策略账号","","0","0","14","0","0"
"","账号管理-创建账号-为云策略准备","","0","0","15","0","0"
"","云策略-复制下单","","0","4","2","0","0"
"","交易下单-云策略复制下单","","0","0","6","0","0"
"","交易下单-云策略复制下单-漏平","","0","1","14","0","0"
"","云策略-云策略列表-批量新增挂靠账号","","0","0","3","0","0"
"","交易下单-manager账号云策略复制下单-漏平","","2","0","13","0","0"
"","云策略-云策略列表-云策略跟单账号修改币种","","0","0","11","0","0"
"","删除基本账号-批量删除云策略账号","","0","0","2","0","0"
