"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 11 17:47:48 CST 2025","Fri Jul 11 17:47:57 CST 2025","8366","test_cloudTrader","test_cloudOrderSend_manageropen","TestcloudTrader_manageropen","","","数据库校验-云策略开仓-云策略跟单账号数据校验",""
"passed","Fri Jul 11 17:52:06 CST 2025","Fri Jul 11 17:52:25 CST 2025","18315","test_cloudTrader","test_cloudOrderSend_open","TestcloudTrader_open","","","数据库校验-交易平仓-跟单账号出现漏开",""
"passed","Fri Jul 11 17:59:11 CST 2025","Fri Jul 11 17:59:11 CST 2025","51","test_cloudTrader","test_cloudtrader_scene","Testcloudtrader_Scence","","","数据库-获取主账号净值",""
"passed","Fri Jul 11 17:44:00 CST 2025","Fri Jul 11 17:44:05 CST 2025","5083","test_cloudTrader","test_cloudOrderSend_allocation","TestMasordersend","","","云策略-云策略列表-分配下单",""
"passed","Fri Jul 11 18:05:21 CST 2025","Fri Jul 11 18:05:21 CST 2025","129","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-品种管理-删除品种",""
"passed","Fri Jul 11 17:43:31 CST 2025","Fri Jul 11 17:43:36 CST 2025","5083","test_cloudTrader","test_create","TestCreate_cloudTrader","","","云策略-云策略列表-获取云策略ID",""
"passed","Fri Jul 11 17:48:02 CST 2025","Fri Jul 11 17:48:09 CST 2025","6643","test_cloudTrader","test_cloudOrderSend_manageropen","TestcloudTrader_manageropen","","","数据库校验-交易平仓-云策略平仓指令",""
"passed","Fri Jul 11 17:59:03 CST 2025","Fri Jul 11 17:59:11 CST 2025","8500","test_cloudTrader","test_cloudtrader_scene","Testcloudtrader_Scence","","","数据库校验-云策略跟单账号策略开仓-跟单账号修改品种",""
"passed","Fri Jul 11 17:40:52 CST 2025","Fri Jul 11 17:40:52 CST 2025","54","test_cloudTrader","test_create","TestCreate_cloudTrader","","","数据库校验-VPS数据-新增策略账号",""
"passed","Fri Jul 11 18:03:55 CST 2025","Fri Jul 11 18:04:00 CST 2025","5092","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","云策略-云策略列表-删除云策略跟单账号","测试删除用户接口"
"passed","Fri Jul 11 17:40:44 CST 2025","Fri Jul 11 17:40:52 CST 2025","8190","test_cloudTrader","test_create","TestCreate_cloudTrader","","","跟单软件看板-VPS数据-新增策略账号",""
"broken","Fri Jul 11 17:45:06 CST 2025","Fri Jul 11 17:45:37 CST 2025","31632","test_cloudTrader","test_cloudOrderSend_copy","TestMasordersend","","","数据库校验-云策略复制下单-持仓检查",""
"broken","Fri Jul 11 17:45:43 CST 2025","Fri Jul 11 17:46:14 CST 2025","31624","test_cloudTrader","test_cloudOrderSend_copy","TestMasordersend","","","数据库校验-交易平仓-持仓检查跟单账号数据",""
"passed","Fri Jul 11 17:47:36 CST 2025","Fri Jul 11 17:47:43 CST 2025","6683","test_cloudTrader","test_cloudOrderSend_manageropen","TestcloudTrader_manageropen","","","数据库校验-云策略下单-获取云策略跟单指令ID",""
"passed","Fri Jul 11 17:49:47 CST 2025","Fri Jul 11 17:49:54 CST 2025","6757","test_cloudTrader","test_masOrderSend_cloudcopy","TestbargainmasOrderSend","","","数据库校验-交易平仓-云策略平仓指令",""
"passed","Fri Jul 11 17:54:40 CST 2025","Fri Jul 11 17:54:40 CST 2025","72","test_cloudTrader","test_cloudOrderSend_level","TestcloudTrader_level","","","账号管理-交易下单-云策略账号复制下单",""
"passed","Fri Jul 11 17:51:39 CST 2025","Fri Jul 11 17:51:44 CST 2025","5098","test_cloudTrader","test_cloudOrderSend_open","TestcloudTrader_open","","","云策略-云策略列表-修改云策略跟单",""
"passed","Fri Jul 11 17:47:30 CST 2025","Fri Jul 11 17:47:36 CST 2025","6409","test_cloudTrader","test_cloudOrderSend_manageropen","TestcloudTrader_manageropen","","","数据库校验-云策略列表-修改云策略跟单账号是否成功",""
"passed","Fri Jul 11 17:52:25 CST 2025","Fri Jul 11 17:52:30 CST 2025","5202","test_cloudTrader","test_cloudOrderSend_open","TestcloudTrader_open","","","云策略-云策略列表-修改云策略跟单",""
"passed","Fri Jul 11 17:53:10 CST 2025","Fri Jul 11 17:53:19 CST 2025","8476","test_cloudTrader","test_cloudOrderSend_open","TestcloudTrader_open","","","数据库校验-交易平仓-云策略manager账号数据",""
"passed","Fri Jul 11 17:58:02 CST 2025","Fri Jul 11 17:58:02 CST 2025","293","test_cloudTrader","test_create_scene","TestCreate_cloudTrader","","","数据库校验-云策略列表-批量新增云策略跟单账号",""
"passed","Fri Jul 11 18:04:01 CST 2025","Fri Jul 11 18:04:06 CST 2025","5099","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","云策略-云策略列表-删除云策略manager账号",""
"broken","Fri Jul 11 17:46:15 CST 2025","Fri Jul 11 17:46:46 CST 2025","31586","test_cloudTrader","test_cloudOrderSend_copy","TestMasordersend","","","数据库校验-交易平仓-云策略跟单平仓指令",""
"passed","Fri Jul 11 17:50:48 CST 2025","Fri Jul 11 17:50:55 CST 2025","6408","test_cloudTrader","test_cloudOrderSend_managerlevel","TestcloudTrader_managerlevel","","","数据库校验-交易平仓-持仓检查跟单账号数据",""
"passed","Fri Jul 11 17:54:49 CST 2025","Fri Jul 11 17:54:55 CST 2025","6410","test_cloudTrader","test_cloudOrderSend_level","TestcloudTrader_level","","","数据库校验-云策略分配下单-持仓检查",""
"passed","Fri Jul 11 17:50:06 CST 2025","Fri Jul 11 17:50:12 CST 2025","6397","test_cloudTrader","test_cloudOrderSend_managerlevel","TestcloudTrader_managerlevel","","","数据库校验-云策略列表-修改云策略跟单账号是否成功",""
"passed","Fri Jul 11 17:46:58 CST 2025","Fri Jul 11 17:46:58 CST 2025","72","test_cloudTrader","test_cloudOrderSend_manageropen","TestcloudTrader_manageropen","","","账号管理-交易下单-云策略账号复制下单",""
"passed","Fri Jul 11 18:04:06 CST 2025","Fri Jul 11 18:04:06 CST 2025","93","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-云策略列表-删除云策略manager账号",""
"passed","Fri Jul 11 17:51:24 CST 2025","Fri Jul 11 17:51:29 CST 2025","5151","test_cloudTrader","test_cloudOrderSend_managerlevel","TestcloudTrader_managerlevel","","","云策略-云策略列表-批量重试-漏平",""
"passed","Fri Jul 11 17:43:54 CST 2025","Fri Jul 11 17:43:54 CST 2025","55","test_cloudTrader","test_create","TestCreate_cloudTrader","","","数据库校验-云策略列表-新增云策略跟单账号",""
"passed","Fri Jul 11 17:51:05 CST 2025","Fri Jul 11 17:51:11 CST 2025","5217","test_cloudTrader","test_cloudOrderSend_managerlevel","TestcloudTrader_managerlevel","","","云策略-云策略列表-修改云策略跟单",""
"passed","Fri Jul 11 17:46:52 CST 2025","Fri Jul 11 17:46:58 CST 2025","6423","test_cloudTrader","test_cloudOrderSend_manageropen","TestcloudTrader_manageropen","","","数据库校验-云策略列表-修改云策略跟单账号是否成功",""
"passed","Fri Jul 11 17:59:26 CST 2025","Fri Jul 11 17:59:31 CST 2025","5114","test_cloudTrader","test_cloudtrader_scene","Testcloudtrader_Scence","","","云策略-云策略列表-平仓",""
"failed","Fri Jul 11 17:51:30 CST 2025","Fri Jul 11 17:51:39 CST 2025","9187","test_cloudTrader","test_cloudOrderSend_managerlevel","TestcloudTrader_managerlevel","","","数据库校验-云策略平仓-云策略跟单账号数据校验",""
"passed","Fri Jul 11 17:44:29 CST 2025","Fri Jul 11 17:44:34 CST 2025","5084","test_cloudTrader","test_cloudOrderSend_copy","TestMasordersend","","","云策略-云策略列表-复制下单",""
"passed","Fri Jul 11 17:43:59 CST 2025","Fri Jul 11 17:44:00 CST 2025","523","test_cloudTrader","test_create","TestCreate_cloudTrader","","","数据库校验-品种管理-添加品种",""
"passed","Fri Jul 11 18:04:18 CST 2025","Fri Jul 11 18:04:23 CST 2025","5132","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","跟单软件看板-VPS数据-删除策略账号",""
"passed","Fri Jul 11 17:59:12 CST 2025","Fri Jul 11 17:59:20 CST 2025","8679","test_cloudTrader","test_cloudtrader_scene","Testcloudtrader_Scence","","","数据库校验-云策略跟单账号策略开仓-修改净值",""
"passed","Fri Jul 11 17:52:58 CST 2025","Fri Jul 11 17:53:03 CST 2025","5081","test_cloudTrader","test_cloudOrderSend_open","TestcloudTrader_open","","","账号管理-交易下单-云策略平仓",""
"passed","Fri Jul 11 18:04:23 CST 2025","Fri Jul 11 18:04:23 CST 2025","114","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-VPS数据-删除策略账号",""
