"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 29 18:00:01 CST 2025","Wed Oct 29 18:00:02 CST 2025","1161","test_cloudTrader","test_cloudfixed_annotations","TestCloudremark","","","修改跟单账号-有固定注释","
        ### 测试说明
        - 前置条件：有云策略和云跟单
          1. 修改云策略信息-关闭跟单备注
          2. 修改跟单账号-有固定注释
          3. 云策略账号复制下单
          4. 数据库校验-策略备注生效
          5. 策略账号平仓
        - 预期结果：跟单取自身备注
        "
"passed","Wed Oct 29 17:59:22 CST 2025","Wed Oct 29 17:59:23 CST 2025","1076","test_cloudTrader","test_cloudfixed_annotations","TestCloudremark","","","修改云策略信息-关闭跟单备注","
        ### 测试说明
        - 前置条件：有云策略和云跟单
          1. 修改云策略信息-关闭跟单备注
          2. 修改跟单账号-无固定注释
          3. 云策略账号复制下单
          4. 数据库校验-策略备注生效
          5. 策略账号平仓
        - 预期结果：跟单取策略备注
        "
"passed","Wed Oct 29 18:01:16 CST 2025","Wed Oct 29 18:01:17 CST 2025","1080","test_cloudTrader","test_cloudfixed_annotations","TestCloudremark","","","修改云策略信息-关闭跟单备注","
        ### 测试说明
        - 前置条件：有云策略和云跟单
          1. 修改云策略信息-关闭跟单备注
          2. 修改跟单账号-无固定注释
          3. 云策略账号复制下单
          4. 数据库校验-策略备注生效
          5. 策略账号平仓
        - 预期结果：跟单取策略备注
        "
"passed","Wed Oct 29 18:02:34 CST 2025","Wed Oct 29 18:02:35 CST 2025","1647","test_cloudTrader","test_cloudfixed_annotations","TestCloudremark","","","修改跟单账号-无固定注释","
        ### 测试说明
        - 前置条件：有云策略和云跟单
          1. 修改云策略信息-开启跟单备注
          2. 修改跟单账号-无固定注释
          3. 云策略账号复制下单
          4. 数据库校验-策略备注生效
          5. 策略账号平仓
        - 预期结果：跟单取开仓备注
        "
"passed","Wed Oct 29 18:01:13 CST 2025","Wed Oct 29 18:01:15 CST 2025","1347","test_cloudTrader","test_cloudfixed_annotations","TestCloudremark","","","策略平仓操作","
        ### 测试说明
        - 前置条件：有云策略和云跟单
          1. 修改云策略信息-开启跟单备注
          2. 修改跟单账号-无固定注释
          3. 云策略账号复制下单
          4. 数据库校验-策略备注生效
          5. 策略账号平仓
        - 预期结果：跟单取开仓备注
        "
"passed","Wed Oct 29 18:00:35 CST 2025","Wed Oct 29 18:00:36 CST 2025","1077","test_cloudTrader","test_cloudfixed_annotations","TestCloudremark","","","策略平仓操作","
        ### 测试说明
        - 前置条件：有云策略和云跟单
          1. 修改云策略信息-关闭跟单备注
          2. 修改跟单账号-有固定注释
          3. 云策略账号复制下单
          4. 数据库校验-策略备注生效
          5. 策略账号平仓
        - 预期结果：跟单取自身备注
        "
"passed","Wed Oct 29 17:59:58 CST 2025","Wed Oct 29 17:59:59 CST 2025","1086","test_cloudTrader","test_cloudfixed_annotations","TestCloudremark","","","策略平仓操作","
        ### 测试说明
        - 前置条件：有云策略和云跟单
          1. 修改云策略信息-关闭跟单备注
          2. 修改跟单账号-无固定注释
          3. 云策略账号复制下单
          4. 数据库校验-策略备注生效
          5. 策略账号平仓
        - 预期结果：跟单取策略备注
        "
"passed","Wed Oct 29 18:01:55 CST 2025","Wed Oct 29 18:01:56 CST 2025","1088","test_cloudTrader","test_cloudfixed_annotations","TestCloudremark","","","修改云策略信息-关闭跟单备注","
        ### 测试说明
        - 前置条件：有云策略和云跟单
          1. 修改云策略信息-关闭跟单备注
          2. 修改跟单账号-有固定注释
          3. 云策略账号复制下单
          4. 数据库校验-策略备注生效
          5. 策略账号平仓
        - 预期结果：跟单取自身备注
        "
"failed","Wed Oct 29 18:02:36 CST 2025","Wed Oct 29 18:03:08 CST 2025","32168","test_cloudTrader","test_cloudfixed_annotations","TestCloudremark","","","数据库校验-开仓备注生效","
        ### 测试说明
        - 前置条件：有云策略和云跟单
          1. 修改云策略信息-开启跟单备注
          2. 修改跟单账号-无固定注释
          3. 云策略账号复制下单
          4. 数据库校验-策略备注生效
          5. 策略账号平仓
        - 预期结果：跟单取开仓备注
        "
"passed","Wed Oct 29 18:02:36 CST 2025","Wed Oct 29 18:02:36 CST 2025","77","test_cloudTrader","test_cloudfixed_annotations","TestCloudremark","","","云策略账号复制下单","
        ### 测试说明
        - 前置条件：有云策略和云跟单
          1. 修改云策略信息-开启跟单备注
          2. 修改跟单账号-无固定注释
          3. 云策略账号复制下单
          4. 数据库校验-策略备注生效
          5. 策略账号平仓
        - 预期结果：跟单取开仓备注
        "
"passed","Wed Oct 29 18:03:08 CST 2025","Wed Oct 29 18:03:10 CST 2025","1074","test_cloudTrader","test_cloudfixed_annotations","TestCloudremark","","","策略平仓操作","
        ### 测试说明
        - 前置条件：有云策略和云跟单
          1. 修改云策略信息-开启跟单备注
          2. 修改跟单账号-无固定注释
          3. 云策略账号复制下单
          4. 数据库校验-策略备注生效
          5. 策略账号平仓
        - 预期结果：跟单取开仓备注
        "
"passed","Wed Oct 29 17:59:23 CST 2025","Wed Oct 29 17:59:24 CST 2025","1155","test_cloudTrader","test_cloudfixed_annotations","TestCloudremark","","","修改跟单账号-无固定注释","
        ### 测试说明
        - 前置条件：有云策略和云跟单
          1. 修改云策略信息-关闭跟单备注
          2. 修改跟单账号-无固定注释
          3. 云策略账号复制下单
          4. 数据库校验-策略备注生效
          5. 策略账号平仓
        - 预期结果：跟单取策略备注
        "
"passed","Wed Oct 29 18:02:32 CST 2025","Wed Oct 29 18:02:33 CST 2025","1083","test_cloudTrader","test_cloudfixed_annotations","TestCloudremark","","","修改云策略信息-开启跟单备注","
        ### 测试说明
        - 前置条件：有云策略和云跟单
          1. 修改云策略信息-开启跟单备注
          2. 修改跟单账号-无固定注释
          3. 云策略账号复制下单
          4. 数据库校验-策略备注生效
          5. 策略账号平仓
        - 预期结果：跟单取开仓备注
        "
"passed","Wed Oct 29 17:59:25 CST 2025","Wed Oct 29 17:59:57 CST 2025","31822","test_cloudTrader","test_cloudfixed_annotations","TestCloudremark","","","数据库校验-策略备注生效","
        ### 测试说明
        - 前置条件：有云策略和云跟单
          1. 修改云策略信息-关闭跟单备注
          2. 修改跟单账号-无固定注释
          3. 云策略账号复制下单
          4. 数据库校验-策略备注生效
          5. 策略账号平仓
        - 预期结果：跟单取策略备注
        "
"passed","Wed Oct 29 18:01:58 CST 2025","Wed Oct 29 18:01:58 CST 2025","61","test_cloudTrader","test_cloudfixed_annotations","TestCloudremark","","","云策略账号复制下单","
        ### 测试说明
        - 前置条件：有云策略和云跟单
          1. 修改云策略信息-关闭跟单备注
          2. 修改跟单账号-有固定注释
          3. 云策略账号复制下单
          4. 数据库校验-策略备注生效
          5. 策略账号平仓
        - 预期结果：跟单取自身备注
        "
"passed","Wed Oct 29 18:00:40 CST 2025","Wed Oct 29 18:01:12 CST 2025","31877","test_cloudTrader","test_cloudfixed_annotations","TestCloudremark","","","数据库校验-开仓备注生效","
        ### 测试说明
        - 前置条件：有云策略和云跟单
          1. 修改云策略信息-开启跟单备注
          2. 修改跟单账号-无固定注释
          3. 云策略账号复制下单
          4. 数据库校验-策略备注生效
          5. 策略账号平仓
        - 预期结果：跟单取开仓备注
        "
"passed","Wed Oct 29 18:00:02 CST 2025","Wed Oct 29 18:00:34 CST 2025","31894","test_cloudTrader","test_cloudfixed_annotations","TestCloudremark","","","数据库校验-跟单备注生效","
        ### 测试说明
        - 前置条件：有云策略和云跟单
          1. 修改云策略信息-关闭跟单备注
          2. 修改跟单账号-有固定注释
          3. 云策略账号复制下单
          4. 数据库校验-策略备注生效
          5. 策略账号平仓
        - 预期结果：跟单取自身备注
        "
"passed","Wed Oct 29 17:59:59 CST 2025","Wed Oct 29 18:00:00 CST 2025","1086","test_cloudTrader","test_cloudfixed_annotations","TestCloudremark","","","修改云策略信息-关闭跟单备注","
        ### 测试说明
        - 前置条件：有云策略和云跟单
          1. 修改云策略信息-关闭跟单备注
          2. 修改跟单账号-有固定注释
          3. 云策略账号复制下单
          4. 数据库校验-策略备注生效
          5. 策略账号平仓
        - 预期结果：跟单取自身备注
        "
"passed","Wed Oct 29 17:59:25 CST 2025","Wed Oct 29 17:59:25 CST 2025","65","test_cloudTrader","test_cloudfixed_annotations","TestCloudremark","","","云策略账号复制下单","
        ### 测试说明
        - 前置条件：有云策略和云跟单
          1. 修改云策略信息-关闭跟单备注
          2. 修改跟单账号-无固定注释
          3. 云策略账号复制下单
          4. 数据库校验-策略备注生效
          5. 策略账号平仓
        - 预期结果：跟单取策略备注
        "
"failed","Wed Oct 29 18:01:20 CST 2025","Wed Oct 29 18:01:52 CST 2025","31866","test_cloudTrader","test_cloudfixed_annotations","TestCloudremark","","","数据库校验-策略备注生效","
        ### 测试说明
        - 前置条件：有云策略和云跟单
          1. 修改云策略信息-关闭跟单备注
          2. 修改跟单账号-无固定注释
          3. 云策略账号复制下单
          4. 数据库校验-策略备注生效
          5. 策略账号平仓
        - 预期结果：跟单取策略备注
        "
"failed","Wed Oct 29 18:01:58 CST 2025","Wed Oct 29 18:02:30 CST 2025","32147","test_cloudTrader","test_cloudfixed_annotations","TestCloudremark","","","数据库校验-跟单备注生效","
        ### 测试说明
        - 前置条件：有云策略和云跟单
          1. 修改云策略信息-关闭跟单备注
          2. 修改跟单账号-有固定注释
          3. 云策略账号复制下单
          4. 数据库校验-策略备注生效
          5. 策略账号平仓
        - 预期结果：跟单取自身备注
        "
"passed","Wed Oct 29 18:01:56 CST 2025","Wed Oct 29 18:01:58 CST 2025","1167","test_cloudTrader","test_cloudfixed_annotations","TestCloudremark","","","修改跟单账号-有固定注释","
        ### 测试说明
        - 前置条件：有云策略和云跟单
          1. 修改云策略信息-关闭跟单备注
          2. 修改跟单账号-有固定注释
          3. 云策略账号复制下单
          4. 数据库校验-策略备注生效
          5. 策略账号平仓
        - 预期结果：跟单取自身备注
        "
"passed","Wed Oct 29 18:00:39 CST 2025","Wed Oct 29 18:00:40 CST 2025","63","test_cloudTrader","test_cloudfixed_annotations","TestCloudremark","","","云策略账号复制下单","
        ### 测试说明
        - 前置条件：有云策略和云跟单
          1. 修改云策略信息-开启跟单备注
          2. 修改跟单账号-无固定注释
          3. 云策略账号复制下单
          4. 数据库校验-策略备注生效
          5. 策略账号平仓
        - 预期结果：跟单取开仓备注
        "
"passed","Wed Oct 29 18:01:19 CST 2025","Wed Oct 29 18:01:20 CST 2025","275","test_cloudTrader","test_cloudfixed_annotations","TestCloudremark","","","云策略账号复制下单","
        ### 测试说明
        - 前置条件：有云策略和云跟单
          1. 修改云策略信息-关闭跟单备注
          2. 修改跟单账号-无固定注释
          3. 云策略账号复制下单
          4. 数据库校验-策略备注生效
          5. 策略账号平仓
        - 预期结果：跟单取策略备注
        "
"passed","Wed Oct 29 18:00:36 CST 2025","Wed Oct 29 18:00:37 CST 2025","1082","test_cloudTrader","test_cloudfixed_annotations","TestCloudremark","","","修改云策略信息-开启跟单备注","
        ### 测试说明
        - 前置条件：有云策略和云跟单
          1. 修改云策略信息-开启跟单备注
          2. 修改跟单账号-无固定注释
          3. 云策略账号复制下单
          4. 数据库校验-策略备注生效
          5. 策略账号平仓
        - 预期结果：跟单取开仓备注
        "
"passed","Wed Oct 29 18:00:02 CST 2025","Wed Oct 29 18:00:02 CST 2025","64","test_cloudTrader","test_cloudfixed_annotations","TestCloudremark","","","云策略账号复制下单","
        ### 测试说明
        - 前置条件：有云策略和云跟单
          1. 修改云策略信息-关闭跟单备注
          2. 修改跟单账号-有固定注释
          3. 云策略账号复制下单
          4. 数据库校验-策略备注生效
          5. 策略账号平仓
        - 预期结果：跟单取自身备注
        "
"passed","Wed Oct 29 18:00:38 CST 2025","Wed Oct 29 18:00:39 CST 2025","1144","test_cloudTrader","test_cloudfixed_annotations","TestCloudremark","","","修改跟单账号-无固定注释","
        ### 测试说明
        - 前置条件：有云策略和云跟单
          1. 修改云策略信息-开启跟单备注
          2. 修改跟单账号-无固定注释
          3. 云策略账号复制下单
          4. 数据库校验-策略备注生效
          5. 策略账号平仓
        - 预期结果：跟单取开仓备注
        "
"passed","Wed Oct 29 18:01:17 CST 2025","Wed Oct 29 18:01:19 CST 2025","1758","test_cloudTrader","test_cloudfixed_annotations","TestCloudremark","","","修改跟单账号-无固定注释","
        ### 测试说明
        - 前置条件：有云策略和云跟单
          1. 修改云策略信息-关闭跟单备注
          2. 修改跟单账号-无固定注释
          3. 云策略账号复制下单
          4. 数据库校验-策略备注生效
          5. 策略账号平仓
        - 预期结果：跟单取策略备注
        "
"passed","Wed Oct 29 18:01:53 CST 2025","Wed Oct 29 18:01:54 CST 2025","1087","test_cloudTrader","test_cloudfixed_annotations","TestCloudremark","","","策略平仓操作","
        ### 测试说明
        - 前置条件：有云策略和云跟单
          1. 修改云策略信息-关闭跟单备注
          2. 修改跟单账号-无固定注释
          3. 云策略账号复制下单
          4. 数据库校验-策略备注生效
          5. 策略账号平仓
        - 预期结果：跟单取策略备注
        "
"passed","Wed Oct 29 18:02:31 CST 2025","Wed Oct 29 18:02:32 CST 2025","1095","test_cloudTrader","test_cloudfixed_annotations","TestCloudremark","","","策略平仓操作","
        ### 测试说明
        - 前置条件：有云策略和云跟单
          1. 修改云策略信息-关闭跟单备注
          2. 修改跟单账号-有固定注释
          3. 云策略账号复制下单
          4. 数据库校验-策略备注生效
          5. 策略账号平仓
        - 预期结果：跟单取自身备注
        "
