"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","VPS策略下单-开仓的场景校验-buy","场景10：复制下单-手数范围0.01-1，总手数0.3","2","0","6","0","0"
"","VPS策略下单-开仓的场景校验-buy","场景4：复制下单-手数0.01-1，总手数5","1","0","6","0","0"
"","VPS策略下单-开仓的场景校验-buy","场景3：复制下单-手数范围0.01-1，总订单数10","1","0","6","0","0"
"","VPS策略下单-开仓的场景校验-buy","场景12：复制下单-手数范围0.01-1，总手数0.01","0","0","8","0","0"
"","VPS策略下单-开仓的场景校验-buy","场景9：VPS交易分配-手数范围0.1-1，总手数2","0","0","1","0","0"
"","VPS策略下单-开仓的场景校验-buy","场景11：复制下单-手数范围0.01-1，总手数0.3","2","0","6","0","0"
"","VPS策略下单-开仓的场景校验-buy","场景8：VPS交易分配-手数范围0.1-1，总手数0.01","0","0","1","0","0"
"","VPS策略下单-开仓的场景校验-buy","场景5：复制下单-手数0.1-1，总订单5-停止功能","0","0","8","0","0"
"","VPS策略下单-开仓的场景校验-buy","场景7：VPS策略下单-手数范围0.3-1，总订单数量1，总手数5","0","0","7","0","0"
"","VPS策略下单-开仓的场景校验-buy","场景1：复制下单-手数0.1-1，总订单3，总手数1","0","0","8","0","0"
"","VPS策略下单-开仓的场景校验-buy","场景2：复制下单-手数范围0.01-0.01，总手数0.01","0","0","7","0","0"
"","VPS策略下单-开仓的场景校验-buy","场景6：VPS策略下单-手数范围0.6-1，总手数1","0","0","7","0","0"
