"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 20 14:01:29 CST 2025","Thu Nov 20 14:01:31 CST 2025","1135","test_vps","test_create","TestCreate","","","账号管理-账号列表-新增单个用户",""
"passed","Thu Nov 20 14:05:11 CST 2025","Thu Nov 20 14:05:12 CST 2025","150","test_vps","test_delete","TestDeleteUser","","","数据库校验-VPS数据-删除跟单账号",""
"passed","Thu Nov 20 14:05:27 CST 2025","Thu Nov 20 14:05:27 CST 2025","200","test_vps","test_delete","TestDeleteUser","","","数据库校验-品种管理-删除品种",""
"passed","Thu Nov 20 14:01:42 CST 2025","Thu Nov 20 14:01:42 CST 2025","581","test_vps","test_create","TestCreate","","","数据库校验-品种管理-添加品种2",""
"passed","Thu Nov 20 14:04:59 CST 2025","Thu Nov 20 14:04:59 CST 2025","144","test_vps","test_delete","TestDeleteUser","","","数据库校验-组别列表-删除VPS组别",""
"passed","Thu Nov 20 14:05:13 CST 2025","Thu Nov 20 14:05:13 CST 2025","104","test_vps","test_delete","TestDeleteUser","","","数据库校验-VPS数据-删除MT4跟单账号",""
"passed","Thu Nov 20 14:01:38 CST 2025","Thu Nov 20 14:01:39 CST 2025","1228","test_vps","test_create","TestCreate","","","平台管理-品种管理-添加品种",""
"passed","Thu Nov 20 14:05:12 CST 2025","Thu Nov 20 14:05:13 CST 2025","1186","test_vps","test_delete","TestDeleteUser","","","跟单软件看板-VPS数据-删除MT4跟单账号",""
"passed","Thu Nov 20 14:05:31 CST 2025","Thu Nov 20 14:05:39 CST 2025","8520","test_vps","test_delete","TestDeleteUser","","","账号管理-账号列表-批量删除账号","测试批量删除用户接口"
"passed","Thu Nov 20 14:05:15 CST 2025","Thu Nov 20 14:05:15 CST 2025","100","test_vps","test_delete","TestDeleteUser","","","数据库校验-账号列表-删除MT4账号",""
"passed","Thu Nov 20 14:01:31 CST 2025","Thu Nov 20 14:01:36 CST 2025","4481","test_vps","test_create","TestCreate","","","账号管理-账号列表-批量新增用户",""
"passed","Thu Nov 20 14:03:22 CST 2025","Thu Nov 20 14:03:24 CST 2025","1204","test_vps","test_create","TestCreate","","","跟单软件看板-VPS数据-跟单平仓",""
"passed","Thu Nov 20 14:03:14 CST 2025","Thu Nov 20 14:03:17 CST 2025","2707","test_vps","test_create","TestCreate","","","跟单软件看板-VPS数据-新增跟单账号",""
"passed","Thu Nov 20 14:04:51 CST 2025","Thu Nov 20 14:04:58 CST 2025","6617","test_vps","test_create_scene","TestCreate_Scene","","","VPS策略账号-跟单账号平仓",""
"passed","Thu Nov 20 14:05:15 CST 2025","Thu Nov 20 14:05:22 CST 2025","6722","test_vps","test_delete","TestDeleteUser","","","跟单软件看板-VPS数据-批量删除跟单账号",""
"passed","Thu Nov 20 14:05:25 CST 2025","Thu Nov 20 14:05:25 CST 2025","105","test_vps","test_delete","TestDeleteUser","","","数据库校验-VPS数据-删除策略账号",""
"passed","Thu Nov 20 14:05:30 CST 2025","Thu Nov 20 14:05:31 CST 2025","99","test_vps","test_delete","TestDeleteUser","","","数据库校验-账号列表-删除账号",""
"passed","Thu Nov 20 14:01:45 CST 2025","Thu Nov 20 14:01:46 CST 2025","1132","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-获取可见用户信息",""
"passed","Thu Nov 20 14:01:44 CST 2025","Thu Nov 20 14:01:45 CST 2025","1123","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-校验服务器IP是否可用",""
"passed","Thu Nov 20 14:01:36 CST 2025","Thu Nov 20 14:01:36 CST 2025","64","test_vps","test_create","TestCreate","","","数据库校验-账号列表-批量新增用户",""
"passed","Thu Nov 20 14:05:26 CST 2025","Thu Nov 20 14:05:27 CST 2025","1154","test_vps","test_delete","TestDeleteUser","","","平台管理-品种管理-删除品种","测试删除用户接口"
"passed","Thu Nov 20 14:01:31 CST 2025","Thu Nov 20 14:01:31 CST 2025","51","test_vps","test_create","TestCreate","","","数据库校验-账号列表-新增用户",""
