"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 20 13:13:57 CST 2025","Thu Nov 20 13:13:58 CST 2025","1137","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-校验服务器IP是否可用",""
"passed","Thu Nov 20 13:15:38 CST 2025","Thu Nov 20 13:15:48 CST 2025","10237","test_cloudTrader","test_create_scene","TestCreate_importMT5cloudTrader","","","云策略-云策略列表-批量新增云跟单账号",""
"passed","Thu Nov 20 13:13:50 CST 2025","Thu Nov 20 13:13:50 CST 2025","51","test_vps","test_create","TestCreate","","","数据库校验-组别列表-新增VPS组别",""
"passed","Thu Nov 20 13:15:34 CST 2025","Thu Nov 20 13:15:35 CST 2025","1140","test_cloudTrader","test_create","TestCreate_MT5cloudTrader","","","云策略-云策略列表-新增MT5云策略-手动下单",""
"passed","Thu Nov 20 13:15:26 CST 2025","Thu Nov 20 13:15:27 CST 2025","1264","test_cloudTrader","test_create","TestCreate_MT5cloudTrader","","","云策略-云策略列表-新增策略账号",""
"passed","Thu Nov 20 13:16:46 CST 2025","Thu Nov 20 13:16:47 CST 2025","98","test_cloudTrader","test_delete","TestDelete_MT5cloudTrader","","","数据库校验-云策略列表-删除云策略-手动下单",""
"passed","Thu Nov 20 13:17:28 CST 2025","Thu Nov 20 13:17:29 CST 2025","937","test_vps","test_delete","TestDeleteUser","","","数据库校验-VPS数据-批量删除跟单账号",""
"failed","Thu Nov 20 13:15:19 CST 2025","Thu Nov 20 13:15:20 CST 2025","1189","test_vps","test_create","TestCreate","","","跟单软件看板-VPS数据-新增策略账号",""
"passed","Thu Nov 20 13:16:28 CST 2025","Thu Nov 20 13:16:29 CST 2025","989","test_cloudTrader","test_delete","TestDelete_MT5cloudTrader","","","数据库校验-账号列表-批量删除账号","数据库校验批量删除结果"
"passed","Thu Nov 20 13:13:44 CST 2025","Thu Nov 20 13:13:44 CST 2025","206","test_vps","test_create","TestCreate","","","数据库查询-获取券商名称和最大手数",""
"passed","Thu Nov 20 13:16:42 CST 2025","Thu Nov 20 13:16:43 CST 2025","1168","test_cloudTrader","test_delete","TestDelete_MT5cloudTrader","","","平台管理-品种管理-删除品种2","测试删除用户接口"
"passed","Thu Nov 20 13:13:52 CST 2025","Thu Nov 20 13:13:53 CST 2025","1017","test_vps","test_create","TestCreate","","","数据库校验-品种管理-添加品种",""
"passed","Thu Nov 20 13:13:47 CST 2025","Thu Nov 20 13:13:50 CST 2025","2844","test_cloudTrader","test_create","TestCreate_MT5cloudTrader","","","跟单软件看板-VPS数据-新增策略账号",""
"passed","Thu Nov 20 13:17:34 CST 2025","Thu Nov 20 13:17:34 CST 2025","169","test_vps","test_delete","TestDeleteUser","","","数据库校验-品种管理-删除品种2",""
"passed","Thu Nov 20 13:13:50 CST 2025","Thu Nov 20 13:13:51 CST 2025","1129","test_cloudTrader","test_create","TestCreate_MT5cloudTrader","","","账号管理-账号列表-批量挂靠VPS跟单（后9个账号）",""
"passed","Thu Nov 20 13:16:43 CST 2025","Thu Nov 20 13:16:43 CST 2025","194","test_cloudTrader","test_delete","TestDelete_MT5cloudTrader","","","数据库校验-品种管理-删除品种2",""
"passed","Thu Nov 20 13:17:19 CST 2025","Thu Nov 20 13:17:19 CST 2025","94","test_vps","test_delete","TestDeleteUser","","","数据库校验-组别列表-删除VPS组别",""
"passed","Thu Nov 20 13:15:49 CST 2025","Thu Nov 20 13:15:56 CST 2025","6966","test_cloudTrader","test_create_scene","TestCreate_importMT5cloudTrader","","","修改跟单账号（仅使用后6个数据与模板匹配）",""
"passed","Thu Nov 20 13:15:32 CST 2025","Thu Nov 20 13:15:33 CST 2025","1223","test_cloudTrader","test_create","TestCreate_MT5cloudTrader","","","平台管理-品种管理-添加品种2",""
"passed","Thu Nov 20 13:15:33 CST 2025","Thu Nov 20 13:15:33 CST 2025","591","test_cloudTrader","test_create","TestCreate_MT5cloudTrader","","","数据库校验-品种管理-添加品种2",""
"passed","Thu Nov 20 13:15:35 CST 2025","Thu Nov 20 13:15:35 CST 2025","53","test_cloudTrader","test_create","TestCreate_MT5cloudTrader","","","数据库校验-云策略列表-新增MT5云策略-手动下单",""
"passed","Thu Nov 20 13:17:21 CST 2025","Thu Nov 20 13:17:28 CST 2025","6687","test_vps","test_delete","TestDeleteUser","","","跟单软件看板-VPS数据-批量删除跟单账号",""
"passed","Thu Nov 20 13:15:44 CST 2025","Thu Nov 20 13:16:11 CST 2025","27472","test_vps","test_create_scene","TestCreate_Scene","","","新增跟单账号（仅使用后6个数据与模板匹配）",""
