"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 31 09:06:25 CST 2025","Fri Oct 31 09:06:26 CST 2025","1268","test_vps","test_delete","TestDeleteUser","","","跟单软件看板-VPS数据-删除策略账号",""
"skipped","Fri Oct 31 09:02:20 CST 2025","Fri Oct 31 09:02:20 CST 2025","0","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-获取要复制的VPS的ID",""
"passed","Fri Oct 31 09:06:27 CST 2025","Fri Oct 31 09:06:27 CST 2025","274","test_vps","test_delete","TestDeleteUser","","","数据库校验-VPS数据-删除策略账号",""
"passed","Fri Oct 31 09:03:45 CST 2025","Fri Oct 31 09:03:45 CST 2025","137","test_vps","test_create","TestCreate","","","数据库校验-VPS数据-新增跟单账号",""
"passed","Fri Oct 31 09:06:38 CST 2025","Fri Oct 31 09:06:39 CST 2025","1116","test_vps","test_delete","TestDeleteUser","","","账号管理-账号列表-删除账号","测试删除用户接口"
"passed","Fri Oct 31 09:06:13 CST 2025","Fri Oct 31 09:06:23 CST 2025","10524","test_vps","test_delete","TestDeleteUser","","","跟单软件看板-VPS数据-批量删除跟单账号",""
"passed","Fri Oct 31 09:06:30 CST 2025","Fri Oct 31 09:06:30 CST 2025","150","test_vps","test_delete","TestDeleteUser","","","数据库校验-品种管理-删除品种",""
"passed","Fri Oct 31 09:02:20 CST 2025","Fri Oct 31 09:03:10 CST 2025","50364","test_vps","test_create","TestCreate","","","跟单软件看板-VPS数据-新增策略账号",""
"passed","Fri Oct 31 09:06:30 CST 2025","Fri Oct 31 09:06:32 CST 2025","1361","test_vps","test_delete","TestDeleteUser","","","平台管理-品种管理-删除品种2","测试删除用户接口"
"passed","Fri Oct 31 09:01:57 CST 2025","Fri Oct 31 09:01:57 CST 2025","55","test_vps","test_create","TestCreate","","","数据库校验-账号列表-新增用户",""
"passed","Fri Oct 31 09:06:23 CST 2025","Fri Oct 31 09:06:24 CST 2025","1096","test_vps","test_delete","TestDeleteUser","","","数据库校验-VPS数据-批量删除跟单账号",""
"passed","Fri Oct 31 09:02:07 CST 2025","Fri Oct 31 09:02:08 CST 2025","1295","test_vps","test_create","TestCreate","","","账号管理-组别列表-新增VPS组别",""
"passed","Fri Oct 31 09:01:58 CST 2025","Fri Oct 31 09:01:58 CST 2025","66","test_vps","test_create","TestCreate","","","数据库查询-提取数据库平台ID数据",""
"passed","Fri Oct 31 09:06:39 CST 2025","Fri Oct 31 09:06:39 CST 2025","101","test_vps","test_delete","TestDeleteUser","","","数据库校验-账号列表-删除账号",""
"passed","Fri Oct 31 09:06:56 CST 2025","Fri Oct 31 09:06:57 CST 2025","1416","test_vps","test_delete","TestDeleteUser","","","数据库校验-账号列表-批量删除账号","数据库校验批量删除结果"
"passed","Fri Oct 31 09:02:06 CST 2025","Fri Oct 31 09:02:06 CST 2025","233","test_vps","test_create","TestCreate","","","数据库校验-账号列表-批量新增用户",""
"passed","Fri Oct 31 09:01:58 CST 2025","Fri Oct 31 09:02:06 CST 2025","7332","test_vps","test_create","TestCreate","","","账号管理-账号列表-批量新增用户",""
"passed","Fri Oct 31 09:03:10 CST 2025","Fri Oct 31 09:03:10 CST 2025","53","test_vps","test_create","TestCreate","","","数据库校验-VPS数据-新增策略账号",""
"skipped","Fri Oct 31 09:06:09 CST 2025","Fri Oct 31 09:06:09 CST 2025","0","test_vps","test_delete","TestDeleteUser","","","VPS管理-VPS列表列表-强制删除VPS",""
"passed","Fri Oct 31 09:02:18 CST 2025","Fri Oct 31 09:02:20 CST 2025","1090","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-获取可见用户信息",""
"passed","Fri Oct 31 09:06:32 CST 2025","Fri Oct 31 09:06:32 CST 2025","150","test_vps","test_delete","TestDeleteUser","","","数据库校验-品种管理-删除品种2",""
"passed","Fri Oct 31 09:03:11 CST 2025","Fri Oct 31 09:03:39 CST 2025","28032","test_vps","test_create","TestCreate","","","跟单软件看板-VPS数据-新增跟单账号",""
"skipped","Fri Oct 31 09:02:20 CST 2025","Fri Oct 31 09:02:20 CST 2025","0","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-复制默认节点",""
"passed","Fri Oct 31 09:03:46 CST 2025","Fri Oct 31 09:05:10 CST 2025","84099","test_vps","test_create_scene","TestCreate_Scene","","","新增跟单账号（仅使用后6个数据与模板匹配）",""
"passed","Fri Oct 31 09:06:09 CST 2025","Fri Oct 31 09:06:11 CST 2025","1811","test_vps","test_delete","TestDeleteUser","","","跟单软件看板-VPS数据-删除跟单账号",""
"skipped","Fri Oct 31 09:06:09 CST 2025","Fri Oct 31 09:06:09 CST 2025","0","test_vps","test_delete","TestDeleteUser","","","VPS管理-VPS列表列表-清空VPS数据",""
"passed","Fri Oct 31 09:02:17 CST 2025","Fri Oct 31 09:02:18 CST 2025","1069","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-校验服务器IP是否可用",""
"passed","Fri Oct 31 09:06:28 CST 2025","Fri Oct 31 09:06:29 CST 2025","1754","test_vps","test_delete","TestDeleteUser","","","平台管理-品种管理-删除品种","测试删除用户接口"
"passed","Fri Oct 31 09:02:09 CST 2025","Fri Oct 31 09:02:10 CST 2025","1127","test_vps","test_create","TestCreate","","","平台管理-品种管理-添加品种",""
"passed","Fri Oct 31 09:02:10 CST 2025","Fri Oct 31 09:02:11 CST 2025","1084","test_vps","test_create","TestCreate","","","数据库校验-品种管理-添加品种",""
"passed","Fri Oct 31 09:06:07 CST 2025","Fri Oct 31 09:06:08 CST 2025","1339","test_vps","test_delete","TestDeleteUser","","","账号管理-组别列表-删除VPS组别",""
