"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 14 11:34:56 CST 2025","Fri Nov 14 11:34:58 CST 2025","1541","test_vps","test_delete","TestDeleteUser","","","平台管理-品种管理-删除品种","测试删除用户接口"
"passed","Fri Nov 14 11:34:59 CST 2025","Fri Nov 14 11:35:01 CST 2025","1511","test_vps","test_delete","TestDeleteUser","","","平台管理-品种管理-删除品种2","测试删除用户接口"
"passed","Fri Nov 14 11:35:01 CST 2025","Fri Nov 14 11:35:01 CST 2025","162","test_vps","test_delete","TestDeleteUser","","","数据库校验-品种管理-删除品种2",""
"passed","Fri Nov 14 11:34:44 CST 2025","Fri Nov 14 11:34:51 CST 2025","6702","test_vps","test_delete","TestDeleteUser","","","跟单软件看板-VPS数据-批量删除跟单账号",""
"passed","Fri Nov 14 11:34:58 CST 2025","Fri Nov 14 11:34:58 CST 2025","174","test_vps","test_delete","TestDeleteUser","","","数据库校验-品种管理-删除品种",""
"passed","Fri Nov 14 11:35:07 CST 2025","Fri Nov 14 11:35:17 CST 2025","10576","test_vps","test_delete","TestDeleteUser","","","账号管理-账号列表-批量删除账号","测试批量删除用户接口"
"passed","Fri Nov 14 11:34:25 CST 2025","Fri Nov 14 11:34:25 CST 2025","142","test_vps","test_delete","TestDeleteUser","","","数据库校验-VPS数据-删除跟单账号",""
"passed","Fri Nov 14 11:34:55 CST 2025","Fri Nov 14 11:34:55 CST 2025","93","test_vps","test_delete","TestDeleteUser","","","数据库校验-VPS数据-删除策略账号",""
"passed","Fri Nov 14 11:34:53 CST 2025","Fri Nov 14 11:34:54 CST 2025","1188","test_vps","test_delete","TestDeleteUser","","","跟单软件看板-VPS数据-删除策略账号",""
"passed","Fri Nov 14 11:34:29 CST 2025","Fri Nov 14 11:34:29 CST 2025","98","test_vps","test_delete","TestDeleteUser","","","数据库校验-VPS数据-删除跟单账号",""
"passed","Fri Nov 14 11:34:21 CST 2025","Fri Nov 14 11:34:22 CST 2025","1538","test_vps","test_delete","TestDeleteUser","","","账号管理-组别列表-删除VPS组别",""
"passed","Fri Nov 14 11:35:05 CST 2025","Fri Nov 14 11:35:05 CST 2025","101","test_vps","test_delete","TestDeleteUser","","","数据库校验-账号列表-删除账号",""
"passed","Fri Nov 14 11:34:43 CST 2025","Fri Nov 14 11:34:43 CST 2025","93","test_vps","test_delete","TestDeleteUser","","","数据库校验-账号列表-删除MT5账号",""
"passed","Fri Nov 14 11:35:04 CST 2025","Fri Nov 14 11:35:05 CST 2025","1505","test_vps","test_delete","TestDeleteUser","","","账号管理-账号列表-删除账号","测试删除用户接口"
"passed","Fri Nov 14 11:34:23 CST 2025","Fri Nov 14 11:34:23 CST 2025","97","test_vps","test_delete","TestDeleteUser","","","数据库校验-组别列表-删除VPS组别",""
"passed","Fri Nov 14 11:34:28 CST 2025","Fri Nov 14 11:34:29 CST 2025","1196","test_vps","test_delete","TestDeleteUser","","","跟单软件看板-VPS数据-删除MT5跟单账号",""
"passed","Fri Nov 14 11:34:51 CST 2025","Fri Nov 14 11:34:52 CST 2025","917","test_vps","test_delete","TestDeleteUser","","","数据库校验-VPS数据-批量删除跟单账号",""
"passed","Fri Nov 14 11:34:24 CST 2025","Fri Nov 14 11:34:25 CST 2025","1282","test_vps","test_delete","TestDeleteUser","","","跟单软件看板-VPS数据-删除跟单账号",""
"passed","Fri Nov 14 11:34:41 CST 2025","Fri Nov 14 11:34:43 CST 2025","1708","test_vps","test_delete","TestDeleteUser","","","账号管理-账号列表-删除MT5账号",""
"passed","Fri Nov 14 11:35:17 CST 2025","Fri Nov 14 11:35:18 CST 2025","662","test_vps","test_delete","TestDeleteUser","","","数据库校验-账号列表-批量删除账号","数据库校验批量删除结果"
