"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Jul 06 16:56:40 CST 2025","Sun Jul 06 16:56:40 CST 2025","0","test_foundation","test_create","TestCreate","","","VPS管理-VPS列表-复制默认节点",""
"passed","Sun Jul 06 17:00:04 CST 2025","Sun Jul 06 17:00:09 CST 2025","5288","test_foundation","test_delete_scene","TestDeleteTrader","","","跟单软件看板-VPS数据-删除跟单账号",""
"passed","Sun Jul 06 16:59:43 CST 2025","Sun Jul 06 17:00:03 CST 2025","20503","test_foundation","test_delete","TestDeleteUser","","","VPS管理-VPS列表列表-删除VPS数据",""
"passed","Sun Jul 06 16:57:00 CST 2025","Sun Jul 06 16:57:00 CST 2025","104","test_foundation","test_create","TestCreate","","","数据库校验-VPS数据-新增跟单账号",""
"passed","Sun Jul 06 17:00:03 CST 2025","Sun Jul 06 17:00:03 CST 2025","55","test_foundation","test_delete","TestDeleteUser","","","数据库校验-VPS列表列表-删除VPS",""
"passed","Sun Jul 06 16:59:34 CST 2025","Sun Jul 06 16:59:34 CST 2025","105","test_foundation","test_delete","TestDeleteUser","","","数据库校验-组别列表-删除VPS组别",""
"passed","Sun Jul 06 17:00:49 CST 2025","Sun Jul 06 17:00:49 CST 2025","102","test_foundation","test_delete_scene","TestDeleteTrader","","","数据库校验-VPS数据-删除策略账号",""
"passed","Sun Jul 06 16:56:17 CST 2025","Sun Jul 06 16:56:17 CST 2025","56","test_foundation","test_create","TestCreate","","","数据库校验-组别列表-新增VPS组别",""
"passed","Sun Jul 06 17:00:55 CST 2025","Sun Jul 06 17:01:00 CST 2025","5163","test_foundation","test_delete_scene","TestDeleteTrader","","","账号管理-账号列表-删除账号","测试删除用户接口"
"passed","Sun Jul 06 16:56:23 CST 2025","Sun Jul 06 16:56:23 CST 2025","294","test_foundation","test_create","TestCreate","","","数据库校验-品种管理-添加品种2",""
"passed","Sun Jul 06 16:59:29 CST 2025","Sun Jul 06 16:59:34 CST 2025","5169","test_foundation","test_delete","TestDeleteUser","","","账号管理-组别列表-删除VPS组别","测试删除用户接口"
"passed","Sun Jul 06 16:56:29 CST 2025","Sun Jul 06 16:56:34 CST 2025","5141","test_foundation","test_create","TestCreate","","","VPS管理-VPS列表-获取可见用户信息",""
"passed","Sun Jul 06 17:01:01 CST 2025","Sun Jul 06 17:01:01 CST 2025","106","test_foundation","test_delete_scene","TestDeleteTrader","","","数据库校验-账号列表-删除账号",""
"passed","Sun Jul 06 16:56:40 CST 2025","Sun Jul 06 16:56:40 CST 2025","103","test_foundation","test_create","TestCreate","","","数据库校验-VPS列表-新增vps",""
"passed","Sun Jul 06 17:01:01 CST 2025","Sun Jul 06 17:01:37 CST 2025","36246","test_foundation","test_delete_scene","TestDeleteTrader","","","账号管理-账号列表-批量删除账号","测试批量删除用户接口"
"passed","Sun Jul 06 16:56:40 CST 2025","Sun Jul 06 16:56:50 CST 2025","9905","test_foundation","test_create","TestCreate","","","跟单软件看板-VPS数据-新增策略账号",""
"passed","Sun Jul 06 16:55:59 CST 2025","Sun Jul 06 16:56:05 CST 2025","5512","test_foundation","test_create","TestCreate","","","账号管理-账号列表-新增单个用户",""
"passed","Sun Jul 06 16:56:50 CST 2025","Sun Jul 06 16:56:50 CST 2025","58","test_foundation","test_create","TestCreate","","","数据库校验-VPS数据-新增策略账号",""
"passed","Sun Jul 06 17:00:09 CST 2025","Sun Jul 06 17:00:09 CST 2025","158","test_foundation","test_delete_scene","TestDeleteTrader","","","数据库校验-VPS数据-删除跟单账号",""
"passed","Sun Jul 06 17:00:55 CST 2025","Sun Jul 06 17:00:55 CST 2025","177","test_foundation","test_delete_scene","TestDeleteTrader","","","数据库校验-品种管理-删除品种",""
"passed","Sun Jul 06 17:01:37 CST 2025","Sun Jul 06 17:01:38 CST 2025","736","test_foundation","test_delete_scene","TestDeleteTrader","","","数据库校验-账号列表-批量删除账号","数据库校验批量删除结果"
"passed","Sun Jul 06 16:56:51 CST 2025","Sun Jul 06 16:57:00 CST 2025","9488","test_foundation","test_create","TestCreate","","","跟单软件看板-VPS数据-新增跟单账号",""
"skipped","Sun Jul 06 16:56:17 CST 2025","Sun Jul 06 16:56:17 CST 2025","0","test_foundation","test_create","TestCreate","","","平台管理-品种管理-添加品种",""
"passed","Sun Jul 06 16:58:27 CST 2025","Sun Jul 06 16:59:29 CST 2025","61278","test_foundation","test_create_scene","TestCreate_Scene","","","修改跟单账号（仅使用后6个数据与模板匹配）",""
"passed","Sun Jul 06 16:56:23 CST 2025","Sun Jul 06 16:56:28 CST 2025","5113","test_foundation","test_create","TestCreate","","","VPS管理-VPS列表-校验服务器IP是否可用",""
"passed","Sun Jul 06 17:00:43 CST 2025","Sun Jul 06 17:00:48 CST 2025","5276","test_foundation","test_delete_scene","TestDeleteTrader","","","跟单软件看板-VPS数据-删除策略账号",""
"passed","Sun Jul 06 16:57:01 CST 2025","Sun Jul 06 16:58:26 CST 2025","84850","test_foundation","test_create_scene","TestCreate_Scene","","","新增跟单账号（仅使用后6个数据与模板匹配）",""
"passed","Sun Jul 06 16:56:17 CST 2025","Sun Jul 06 16:56:23 CST 2025","5428","test_foundation","test_create","TestCreate","","","平台管理-品种管理-添加品种2",""
"passed","Sun Jul 06 16:56:11 CST 2025","Sun Jul 06 16:56:11 CST 2025","64","test_foundation","test_create","TestCreate","","","数据库校验-账号列表-批量新增用户",""
"passed","Sun Jul 06 16:58:26 CST 2025","Sun Jul 06 16:58:27 CST 2025","1234","test_foundation","test_create_scene","TestCreate_Scene","","","数据库校验-VPS数据-批量新增跟单账号",""
"skipped","Sun Jul 06 16:56:40 CST 2025","Sun Jul 06 16:56:40 CST 2025","0","test_foundation","test_create","TestCreate","","","VPS管理-VPS列表-获取要复制的VPS的ID",""
"passed","Sun Jul 06 16:56:05 CST 2025","Sun Jul 06 16:56:05 CST 2025","56","test_foundation","test_create","TestCreate","","","数据库校验-账号列表-新增用户",""
"passed","Sun Jul 06 17:00:42 CST 2025","Sun Jul 06 17:00:43 CST 2025","937","test_foundation","test_delete_scene","TestDeleteTrader","","","数据库校验-VPS数据-批量删除跟单账号",""
"skipped","Sun Jul 06 16:56:17 CST 2025","Sun Jul 06 16:56:17 CST 2025","0","test_foundation","test_create","TestCreate","","","数据库校验-品种管理-添加品种",""
"passed","Sun Jul 06 17:00:49 CST 2025","Sun Jul 06 17:00:55 CST 2025","5212","test_foundation","test_delete_scene","TestDeleteTrader","","","平台管理-品种管理-删除品种","测试删除用户接口"
"passed","Sun Jul 06 17:00:10 CST 2025","Sun Jul 06 17:00:42 CST 2025","32080","test_foundation","test_delete_scene","TestDeleteTrader","","","跟单软件看板-VPS数据-批量删除跟单账号",""
"passed","Sun Jul 06 16:59:35 CST 2025","Sun Jul 06 16:59:42 CST 2025","7602","test_foundation","test_delete","TestDeleteUser","","","VPS管理-VPS列表列表-清空VPS数据",""
"passed","Sun Jul 06 16:56:35 CST 2025","Sun Jul 06 16:56:40 CST 2025","5229","test_foundation","test_create","TestCreate","","","VPS管理-VPS列表-新增vps",""
"passed","Sun Jul 06 16:56:12 CST 2025","Sun Jul 06 16:56:17 CST 2025","5145","test_foundation","test_create","TestCreate","","","账号管理-组别列表-新增VPS组别","验证数据库"
