"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Aug 07 15:25:13 CST 2025","Thu Aug 07 15:25:13 CST 2025","0","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-获取要复制的VPS的ID",""
"skipped","Thu Aug 07 15:25:13 CST 2025","Thu Aug 07 15:25:13 CST 2025","0","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-复制默认节点",""
"passed","Thu Aug 07 15:24:57 CST 2025","Thu Aug 07 15:25:00 CST 2025","2633","test_vps","test_create","TestCreate","","","平台管理-品种管理-添加品种",""
"passed","Thu Aug 07 15:29:11 CST 2025","Thu Aug 07 15:29:12 CST 2025","931","test_vps","test_delete_scene","TestDeleteTrader","","","数据库校验-VPS数据-批量删除跟单账号",""
"passed","Thu Aug 07 15:25:00 CST 2025","Thu Aug 07 15:25:00 CST 2025","588","test_vps","test_create","TestCreate","","","数据库校验-品种管理-添加品种",""
"passed","Thu Aug 07 15:29:22 CST 2025","Thu Aug 07 15:29:22 CST 2025","174","test_vps","test_delete_scene","TestDeleteTrader","","","数据库校验-品种管理-删除品种",""
"passed","Thu Aug 07 15:28:17 CST 2025","Thu Aug 07 15:28:35 CST 2025","17527","test_vps","test_delete","TestDeleteUser","","","VPS管理-VPS列表列表-删除VPS数据",""
"passed","Thu Aug 07 15:24:54 CST 2025","Thu Aug 07 15:24:54 CST 2025","60","test_vps","test_create","TestCreate","","","数据库校验-组别列表-新增VPS组别",""
"passed","Thu Aug 07 15:29:16 CST 2025","Thu Aug 07 15:29:16 CST 2025","97","test_vps","test_delete_scene","TestDeleteTrader","","","数据库校验-VPS数据-删除策略账号",""
"passed","Thu Aug 07 15:29:47 CST 2025","Thu Aug 07 15:29:48 CST 2025","694","test_vps","test_delete_scene","TestDeleteTrader","","","数据库校验-账号列表-批量删除账号","数据库校验批量删除结果"
"passed","Thu Aug 07 15:24:47 CST 2025","Thu Aug 07 15:24:50 CST 2025","3087","test_vps","test_create","TestCreate","","","账号管理-账号列表-批量新增用户",""
"passed","Thu Aug 07 15:26:38 CST 2025","Thu Aug 07 15:27:55 CST 2025","76993","test_vps","test_create_scene","TestCreate_Scene","","","数据库校验-VPS数据-批量新增跟单账号",""
"passed","Thu Aug 07 15:25:32 CST 2025","Thu Aug 07 15:25:33 CST 2025","108","test_vps","test_create","TestCreate","","","数据库校验-VPS数据-新增跟单账号",""
"passed","Thu Aug 07 15:29:23 CST 2025","Thu Aug 07 15:29:27 CST 2025","3541","test_vps","test_delete_scene","TestDeleteTrader","","","账号管理-账号列表-删除账号","测试删除用户接口"
"passed","Thu Aug 07 15:28:54 CST 2025","Thu Aug 07 15:28:54 CST 2025","52","test_vps","test_delete","TestDeleteUser","","","数据库校验-VPS列表列表-删除VPS",""
"passed","Thu Aug 07 15:25:13 CST 2025","Thu Aug 07 15:25:13 CST 2025","51","test_vps","test_create","TestCreate","","","数据库校验-VPS列表-新增vps",""
"passed","Thu Aug 07 15:25:02 CST 2025","Thu Aug 07 15:25:04 CST 2025","2536","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-校验服务器IP是否可用",""
"passed","Thu Aug 07 15:24:43 CST 2025","Thu Aug 07 15:24:45 CST 2025","2559","test_vps","test_create","TestCreate","","","账号管理-账号列表-新增单个用户",""
"passed","Thu Aug 07 15:25:56 CST 2025","Thu Aug 07 15:26:38 CST 2025","41583","test_vps","test_create_scene","TestCreate_Scene","","","新增跟单账号（仅使用后6个数据与模板匹配）",""
"passed","Thu Aug 07 15:29:18 CST 2025","Thu Aug 07 15:29:22 CST 2025","3528","test_vps","test_delete_scene","TestDeleteTrader","","","平台管理-品种管理-删除品种","测试删除用户接口"
"passed","Thu Aug 07 15:29:14 CST 2025","Thu Aug 07 15:29:16 CST 2025","2256","test_vps","test_delete_scene","TestDeleteTrader","","","跟单软件看板-VPS数据-删除策略账号",""
"passed","Thu Aug 07 15:25:15 CST 2025","Thu Aug 07 15:25:22 CST 2025","7896","test_vps","test_create","TestCreate","","","跟单软件看板-VPS数据-新增策略账号",""
"passed","Thu Aug 07 15:28:58 CST 2025","Thu Aug 07 15:28:58 CST 2025","151","test_vps","test_delete_scene","TestDeleteTrader","","","数据库校验-VPS数据-删除跟单账号",""
"passed","Thu Aug 07 15:24:50 CST 2025","Thu Aug 07 15:24:50 CST 2025","53","test_vps","test_create","TestCreate","","","数据库校验-账号列表-批量新增用户",""
"passed","Thu Aug 07 15:28:16 CST 2025","Thu Aug 07 15:28:16 CST 2025","95","test_vps","test_delete","TestDeleteUser","","","数据库校验-组别列表-删除VPS组别",""
"passed","Thu Aug 07 15:25:23 CST 2025","Thu Aug 07 15:25:23 CST 2025","50","test_vps","test_create","TestCreate","","","数据库校验-VPS数据-新增策略账号",""
"passed","Thu Aug 07 15:25:24 CST 2025","Thu Aug 07 15:25:32 CST 2025","8135","test_vps","test_create","TestCreate","","","跟单软件看板-VPS数据-新增跟单账号",""
"passed","Thu Aug 07 15:24:52 CST 2025","Thu Aug 07 15:24:54 CST 2025","2568","test_vps","test_create","TestCreate","","","账号管理-组别列表-新增VPS组别",""
"skipped","Thu Aug 07 15:28:16 CST 2025","Thu Aug 07 15:28:16 CST 2025","0","test_vps","test_delete","TestDeleteUser","","","VPS管理-VPS列表列表-清空VPS数据",""
"passed","Thu Aug 07 15:28:55 CST 2025","Thu Aug 07 15:28:57 CST 2025","2280","test_vps","test_delete_scene","TestDeleteTrader","","","跟单软件看板-VPS数据-删除跟单账号",""
"passed","Thu Aug 07 15:25:10 CST 2025","Thu Aug 07 15:25:13 CST 2025","2547","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-新增vps",""
"passed","Thu Aug 07 15:28:59 CST 2025","Thu Aug 07 15:29:11 CST 2025","12809","test_vps","test_delete_scene","TestDeleteTrader","","","跟单软件看板-VPS数据-批量删除跟单账号",""
"passed","Thu Aug 07 15:29:27 CST 2025","Thu Aug 07 15:29:27 CST 2025","96","test_vps","test_delete_scene","TestDeleteTrader","","","数据库校验-账号列表-删除账号",""
"passed","Thu Aug 07 15:24:46 CST 2025","Thu Aug 07 15:24:46 CST 2025","53","test_vps","test_create","TestCreate","","","数据库校验-账号列表-新增用户",""
"passed","Thu Aug 07 15:25:07 CST 2025","Thu Aug 07 15:25:09 CST 2025","2541","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-获取可见用户信息",""
"passed","Thu Aug 07 15:28:36 CST 2025","Thu Aug 07 15:28:54 CST 2025","17539","test_vps","test_delete","TestDeleteUser","","","VPS管理-VPS列表列表-强制删除VPS",""
"passed","Thu Aug 07 15:29:28 CST 2025","Thu Aug 07 15:29:47 CST 2025","18634","test_vps","test_delete_scene","TestDeleteTrader","","","账号管理-账号列表-批量删除账号","测试批量删除用户接口"
"passed","Thu Aug 07 15:28:13 CST 2025","Thu Aug 07 15:28:16 CST 2025","2558","test_vps","test_delete","TestDeleteUser","","","账号管理-组别列表-删除VPS组别",""
"passed","Thu Aug 07 15:27:57 CST 2025","Thu Aug 07 15:28:10 CST 2025","12762","test_vps","test_create_scene","TestCreate_Scene","","","修改跟单账号（仅使用后6个数据与模板匹配）",""
