"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 13 15:44:15 CST 2025","Wed Aug 13 15:44:18 CST 2025","2543","test_vps","test_masOrderSend","TestMasordersend_allocation","","","跟账号管理-交易下单-平仓",""
"broken","Wed Aug 13 15:51:26 CST 2025","Wed Aug 13 15:51:58 CST 2025","32400","test_vps","test_vps_scene","TestVPSOrderSend_Scence","","","数据库校验-策略平仓-跟单账号修改品种",""
"broken","Wed Aug 13 15:50:16 CST 2025","Wed Aug 13 15:50:17 CST 2025","49","test_vps","test_vps_scene","TestVPSOrderSend_Scence","","","数据库-获取跟单账号净值",""
"broken","Wed Aug 13 15:53:58 CST 2025","Wed Aug 13 15:54:34 CST 2025","35671","test_vps","test_vps_money","TestVPSOrderSend_money","","","数据库校验-策略开仓-修改币种min",""
"passed","Wed Aug 13 15:39:08 CST 2025","Wed Aug 13 15:39:11 CST 2025","2547","test_vps","test_create","TestCreate","","","账号管理-组别列表-新增VPS组别",""
"passed","Wed Aug 13 15:50:16 CST 2025","Wed Aug 13 15:50:16 CST 2025","53","test_vps","test_vps_scene","TestVPSOrderSend_Scence","","","数据库-获取主账号净值",""
"broken","Wed Aug 13 15:49:44 CST 2025","Wed Aug 13 15:50:16 CST 2025","32351","test_vps","test_vps_scene","TestVPSOrderSend_Scence","","","数据库校验-策略开仓-跟单账号修改品种",""
"broken","Wed Aug 13 15:55:49 CST 2025","Wed Aug 13 15:56:26 CST 2025","36164","test_vps","test_vps_money","TestVPSOrderSend_money","","","数据库校验-策略平仓-修改币种min",""
"passed","Wed Aug 13 15:40:08 CST 2025","Wed Aug 13 15:40:14 CST 2025","6396","test_vps","test_vps_Leakage_level","TestLeakagelevel","","","数据库校验-VPS数据-修改跟单账号是否成功",""
"passed","Wed Aug 13 15:42:47 CST 2025","Wed Aug 13 15:42:50 CST 2025","2258","test_vps","test_vps_Leakage_open","TestLeakageopen","","","跟单软件看板-VPS数据-开仓补全",""
"broken","Wed Aug 13 15:53:22 CST 2025","Wed Aug 13 15:53:58 CST 2025","35770","test_vps","test_vps_money","TestVPSOrderSend_money","","","数据库校验-策略开仓-修改币种p",""
"passed","Wed Aug 13 15:40:06 CST 2025","Wed Aug 13 15:40:08 CST 2025","2272","test_vps","test_vps_Leakage_level","TestLeakagelevel","","","跟单软件看板-VPS数据-修改跟单账号（漏平）",""
"passed","Wed Aug 13 15:39:01 CST 2025","Wed Aug 13 15:39:01 CST 2025","47","test_vps","test_create","TestCreate","","","数据库校验-账号列表-新增用户",""
"broken","Wed Aug 13 15:52:46 CST 2025","Wed Aug 13 15:53:22 CST 2025","35706","test_vps","test_vps_money","TestVPSOrderSend_money","","","数据库校验-策略开仓-修改币种@",""
"passed","Wed Aug 13 15:42:08 CST 2025","Wed Aug 13 15:42:15 CST 2025","6413","test_vps","test_vps_Leakage_open","TestLeakageopen","","","数据库校验-VPS数据-修改跟单账号是否成功",""
"passed","Wed Aug 13 15:40:41 CST 2025","Wed Aug 13 15:40:50 CST 2025","9057","test_vps","test_vps_Leakage_level","TestLeakagelevel","","","数据库校验-策略平仓-主指令及订单详情数据检查",""
"passed","Wed Aug 13 15:57:31 CST 2025","Wed Aug 13 15:57:33 CST 2025","2562","test_vps","test_delete_scene","TestDeleteTrader","","","账号管理-账号列表-删除账号","测试删除用户接口"
"passed","Wed Aug 13 15:57:53 CST 2025","Wed Aug 13 15:57:53 CST 2025","652","test_vps","test_delete_scene","TestDeleteTrader","","","数据库校验-账号列表-批量删除账号","数据库校验批量删除结果"
"passed","Wed Aug 13 15:44:01 CST 2025","Wed Aug 13 15:44:02 CST 2025","555","test_vps","test_masOrderSend","TestMasordersend_allocation","","","跟账号管理-交易下单-VPS分配下单",""
"broken","Wed Aug 13 15:50:17 CST 2025","Wed Aug 13 15:50:49 CST 2025","32323","test_vps","test_vps_scene","TestVPSOrderSend_Scence","","","数据库校验-策略开仓-修改净值",""
"failed","Wed Aug 13 15:47:30 CST 2025","Wed Aug 13 15:47:30 CST 2025","0","test_vps","test_create_scene","TestCreate_Scene","","","新增跟单账号（仅使用后6个数据与模板匹配）",""
"passed","Wed Aug 13 15:42:51 CST 2025","Wed Aug 13 15:42:53 CST 2025","2264","test_vps","test_vps_Leakage_open","TestLeakageopen","","","跟单软件看板-VPS数据-修改跟单账号",""
"passed","Wed Aug 13 15:46:17 CST 2025","Wed Aug 13 15:46:19 CST 2025","2317","test_vps","test_vps_ordersend","TestVPSOrderSend","","","跟单软件看板-VPS数据-策略开仓",""
"passed","Wed Aug 13 15:42:16 CST 2025","Wed Aug 13 15:42:19 CST 2025","2316","test_vps","test_vps_Leakage_open","TestLeakageopen","","","跟单软件看板-VPS数据-策略开仓-出现漏单",""
"passed","Wed Aug 13 15:50:51 CST 2025","Wed Aug 13 15:50:53 CST 2025","2277","test_vps","test_vps_scene","TestVPSOrderSend_Scence","","","跟单软件看板-VPS数据-策略平仓",""
"passed","Wed Aug 13 15:43:01 CST 2025","Wed Aug 13 15:43:04 CST 2025","2367","test_vps","test_vps_Leakage_open","TestLeakageopen","","","跟单软件看板-VPS数据-修改完之后进行开仓补全",""
"passed","Wed Aug 13 15:45:28 CST 2025","Wed Aug 13 15:45:28 CST 2025","535","test_vps","test_masOrderSend","TestMasordersend_copy","","","跟账号管理-交易下单-VPS复制下单",""
"passed","Wed Aug 13 15:40:28 CST 2025","Wed Aug 13 15:40:37 CST 2025","8984","test_vps","test_vps_Leakage_level","TestLeakagelevel","","","数据库校验-策略开仓-跟单指令及订单详情数据检查",""
"passed","Wed Aug 13 15:40:16 CST 2025","Wed Aug 13 15:40:19 CST 2025","2595","test_vps","test_vps_Leakage_level","TestLeakagelevel","","","跟单软件看板-VPS数据-策略开仓",""
"passed","Wed Aug 13 15:52:44 CST 2025","Wed Aug 13 15:52:46 CST 2025","2313","test_vps","test_vps_money","TestVPSOrderSend_money","","","跟单软件看板-VPS数据-策略开仓",""
"broken","Wed Aug 13 15:57:20 CST 2025","Wed Aug 13 15:57:20 CST 2025","0","test_vps","test_delete_scene","TestDeleteTrader","","","跟单软件看板-VPS数据-批量删除跟单账号",""
"passed","Wed Aug 13 15:57:18 CST 2025","Wed Aug 13 15:57:18 CST 2025","140","test_vps","test_delete_scene","TestDeleteTrader","","","数据库校验-VPS数据-删除跟单账号",""
"passed","Wed Aug 13 15:39:18 CST 2025","Wed Aug 13 15:39:21 CST 2025","2521","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-校验服务器IP是否可用",""
"passed","Wed Aug 13 15:41:26 CST 2025","Wed Aug 13 15:41:28 CST 2025","2902","test_vps","test_vps_Leakage_level","TestLeakagelevel","","","跟单软件看板-VPS数据-修改完之后进行平仓补全",""
"passed","Wed Aug 13 15:39:57 CST 2025","Wed Aug 13 15:40:04 CST 2025","7164","test_vps","test_create","TestCreate","","","跟单软件看板-VPS数据-新增跟单账号",""
"passed","Wed Aug 13 15:57:16 CST 2025","Wed Aug 13 15:57:18 CST 2025","2264","test_vps","test_delete_scene","TestDeleteTrader","","","跟单软件看板-VPS数据-删除跟单账号",""
"passed","Wed Aug 13 15:46:19 CST 2025","Wed Aug 13 15:46:28 CST 2025","8944","test_vps","test_vps_ordersend","TestVPSOrderSend","","","数据库校验-策略开仓-主指令及订单详情数据检查",""
"passed","Wed Aug 13 15:42:53 CST 2025","Wed Aug 13 15:43:00 CST 2025","6404","test_vps","test_vps_Leakage_open","TestLeakageopen","","","数据库校验-VPS数据-修改跟单账号是否成功",""
"passed","Wed Aug 13 15:39:54 CST 2025","Wed Aug 13 15:39:54 CST 2025","52","test_vps","test_create","TestCreate","","","数据库校验-VPS数据-新增策略账号",""
"passed","Wed Aug 13 15:38:58 CST 2025","Wed Aug 13 15:39:00 CST 2025","2567","test_vps","test_create","TestCreate","","","账号管理-账号列表-新增单个用户",""
"passed","Wed Aug 13 15:39:04 CST 2025","Wed Aug 13 15:39:07 CST 2025","3108","test_vps","test_create","TestCreate","","","账号管理-账号列表-批量新增用户",""
"passed","Wed Aug 13 15:42:06 CST 2025","Wed Aug 13 15:42:08 CST 2025","2268","test_vps","test_vps_Leakage_open","TestLeakageopen","","","跟单软件看板-VPS数据-修改跟单账号（漏开）",""
"passed","Wed Aug 13 15:57:29 CST 2025","Wed Aug 13 15:57:29 CST 2025","161","test_vps","test_delete_scene","TestDeleteTrader","","","数据库校验-品种管理-删除品种",""
"passed","Wed Aug 13 15:41:32 CST 2025","Wed Aug 13 15:42:04 CST 2025","31477","test_vps","test_vps_Leakage_level","TestLeakagelevel","","","数据库校验-策略平仓-跟单指令及订单详情数据检查",""
"passed","Wed Aug 13 15:43:04 CST 2025","Wed Aug 13 15:43:15 CST 2025","11679","test_vps","test_vps_Leakage_open","TestLeakageopen","","","数据库校验-策略开仓-跟单指令及订单详情数据检查",""
"passed","Wed Aug 13 15:46:47 CST 2025","Wed Aug 13 15:46:49 CST 2025","2259","test_vps","test_vps_ordersend","TestVPSOrderSend","","","跟单软件看板-VPS数据-跟单平仓",""
"passed","Wed Aug 13 15:57:25 CST 2025","Wed Aug 13 15:57:25 CST 2025","112","test_vps","test_delete_scene","TestDeleteTrader","","","数据库校验-VPS数据-删除策略账号",""
"passed","Wed Aug 13 15:40:51 CST 2025","Wed Aug 13 15:41:01 CST 2025","10855","test_vps","test_vps_Leakage_level","TestLeakagelevel","","","数据库校验-策略平仓-检查平仓订单是否出现漏平",""
"passed","Wed Aug 13 15:57:33 CST 2025","Wed Aug 13 15:57:33 CST 2025","94","test_vps","test_delete_scene","TestDeleteTrader","","","数据库校验-账号列表-删除账号",""
"passed","Wed Aug 13 15:56:30 CST 2025","Wed Aug 13 15:56:30 CST 2025","106","test_vps","test_delete","TestDeleteUser","","","数据库校验-组别列表-删除VPS组别",""
"passed","Wed Aug 13 15:39:14 CST 2025","Wed Aug 13 15:39:16 CST 2025","2591","test_vps","test_create","TestCreate","","","平台管理-品种管理-添加品种",""
"passed","Wed Aug 13 15:44:18 CST 2025","Wed Aug 13 15:45:26 CST 2025","68508","test_vps","test_masOrderSend","TestMasordersend_allocation","","","数据库校验-交易平仓-指令及订单详情数据检查",""
"passed","Wed Aug 13 15:40:04 CST 2025","Wed Aug 13 15:40:04 CST 2025","95","test_vps","test_create","TestCreate","","","数据库校验-VPS数据-新增跟单账号",""
"passed","Wed Aug 13 15:39:23 CST 2025","Wed Aug 13 15:39:26 CST 2025","2815","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-获取可见用户信息",""
"passed","Wed Aug 13 15:52:36 CST 2025","Wed Aug 13 15:52:42 CST 2025","6582","test_vps","test_vps_money","TestVPSOrderSend_money","","","数据库校验-账号列表-修改用户是否成功",""
"passed","Wed Aug 13 15:57:26 CST 2025","Wed Aug 13 15:57:29 CST 2025","2563","test_vps","test_delete_scene","TestDeleteTrader","","","平台管理-品种管理-删除品种","测试删除用户接口"
"skipped","Wed Aug 13 15:56:30 CST 2025","Wed Aug 13 15:56:30 CST 2025","0","test_vps","test_delete","TestDeleteUser","","","VPS管理-VPS列表列表-清空VPS数据",""
