"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Aug 21 14:33:15 CST 2025","Thu Aug 21 14:33:15 CST 2025","0","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-复制默认节点",""
"passed","Thu Aug 21 14:33:33 CST 2025","Thu Aug 21 14:33:33 CST 2025","105","test_vps","test_create","TestCreate","","","数据库校验-VPS数据-新增跟单账号",""
"passed","Thu Aug 21 14:33:13 CST 2025","Thu Aug 21 14:33:15 CST 2025","1549","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-获取可见用户信息",""
"passed","Thu Aug 21 14:33:16 CST 2025","Thu Aug 21 14:33:23 CST 2025","7454","test_vps","test_create","TestCreate","","","跟单软件看板-VPS数据-新增策略账号",""
"passed","Thu Aug 21 14:32:55 CST 2025","Thu Aug 21 14:32:56 CST 2025","1541","test_vps","test_create","TestCreate","","","账号管理-账号列表-新增单个用户",""
"passed","Thu Aug 21 14:33:25 CST 2025","Thu Aug 21 14:33:33 CST 2025","7386","test_vps","test_create","TestCreate","","","跟单软件看板-VPS数据-新增跟单账号",""
"passed","Thu Aug 21 14:32:59 CST 2025","Thu Aug 21 14:33:01 CST 2025","2028","test_vps","test_create","TestCreate","","","账号管理-账号列表-批量新增用户",""
"passed","Thu Aug 21 14:33:24 CST 2025","Thu Aug 21 14:33:24 CST 2025","56","test_vps","test_create","TestCreate","","","数据库校验-VPS数据-新增策略账号",""
"passed","Thu Aug 21 14:33:05 CST 2025","Thu Aug 21 14:33:05 CST 2025","58","test_vps","test_create","TestCreate","","","数据库校验-组别列表-新增VPS组别",""
"passed","Thu Aug 21 14:32:57 CST 2025","Thu Aug 21 14:32:57 CST 2025","51","test_vps","test_create","TestCreate","","","数据库校验-账号列表-新增用户",""
"passed","Thu Aug 21 14:33:10 CST 2025","Thu Aug 21 14:33:11 CST 2025","1515","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-校验服务器IP是否可用",""
"passed","Thu Aug 21 14:33:08 CST 2025","Thu Aug 21 14:33:08 CST 2025","286","test_vps","test_create","TestCreate","","","数据库校验-品种管理-添加品种",""
"passed","Thu Aug 21 14:33:03 CST 2025","Thu Aug 21 14:33:04 CST 2025","1545","test_vps","test_create","TestCreate","","","账号管理-组别列表-新增VPS组别",""
"passed","Thu Aug 21 14:33:06 CST 2025","Thu Aug 21 14:33:08 CST 2025","1622","test_vps","test_create","TestCreate","","","平台管理-品种管理-添加品种",""
"skipped","Thu Aug 21 14:33:15 CST 2025","Thu Aug 21 14:33:15 CST 2025","0","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-新增vps",""
"passed","Thu Aug 21 14:32:57 CST 2025","Thu Aug 21 14:32:57 CST 2025","63","test_vps","test_create","TestCreate","","","数据库查询-提取数据库平台ID数据",""
"passed","Thu Aug 21 14:33:01 CST 2025","Thu Aug 21 14:33:01 CST 2025","66","test_vps","test_create","TestCreate","","","数据库校验-账号列表-批量新增用户",""
"skipped","Thu Aug 21 14:33:15 CST 2025","Thu Aug 21 14:33:15 CST 2025","0","test_vps","test_create","TestCreate","","","数据库校验-VPS列表-新增vps",""
"skipped","Thu Aug 21 14:33:15 CST 2025","Thu Aug 21 14:33:15 CST 2025","0","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-获取要复制的VPS的ID",""
