"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 19 17:20:17 CST 2025","Tue Aug 19 17:20:18 CST 2025","1375","test_vps","test_vpsfixed_annotations","TestVPSOrderSend_AllRemarkScenarios","","","修改策略账号信息（场景二）","
### 用例说明
- 前置条件：有vps策略和vps跟单，验证三种备注场景的跟单行为
- 三种场景：
  1. 策略有固定注释，跟单无固定注释 → 预期：跟单取策略备注
  2. 策略有固定注释，跟单有固定注释 → 预期：跟单取自身备注
  3. 策略开启订单备注，跟单无固定注释 → 预期：跟单取开仓备注
"
"broken","Tue Aug 19 17:21:09 CST 2025","Tue Aug 19 17:21:42 CST 2025","33279","test_vps","test_vpsfixed_annotations","TestVPSOrderSend_AllRemarkScenarios","","","策略开仓及备注校验（场景三）","
### 用例说明
- 前置条件：有vps策略和vps跟单，验证三种备注场景的跟单行为
- 三种场景：
  1. 策略有固定注释，跟单无固定注释 → 预期：跟单取策略备注
  2. 策略有固定注释，跟单有固定注释 → 预期：跟单取自身备注
  3. 策略开启订单备注，跟单无固定注释 → 预期：跟单取开仓备注
"
"passed","Tue Aug 19 17:21:06 CST 2025","Tue Aug 19 17:21:07 CST 2025","1308","test_vps","test_vpsfixed_annotations","TestVPSOrderSend_AllRemarkScenarios","","","修改跟单账号（场景三：无固定注释）","
### 用例说明
- 前置条件：有vps策略和vps跟单，验证三种备注场景的跟单行为
- 三种场景：
  1. 策略有固定注释，跟单无固定注释 → 预期：跟单取策略备注
  2. 策略有固定注释，跟单有固定注释 → 预期：跟单取自身备注
  3. 策略开启订单备注，跟单无固定注释 → 预期：跟单取开仓备注
"
"broken","Tue Aug 19 17:20:24 CST 2025","Tue Aug 19 17:20:57 CST 2025","33346","test_vps","test_vpsfixed_annotations","TestVPSOrderSend_AllRemarkScenarios","","","策略开仓及备注校验（场景二）","
### 用例说明
- 前置条件：有vps策略和vps跟单，验证三种备注场景的跟单行为
- 三种场景：
  1. 策略有固定注释，跟单无固定注释 → 预期：跟单取策略备注
  2. 策略有固定注释，跟单有固定注释 → 预期：跟单取自身备注
  3. 策略开启订单备注，跟单无固定注释 → 预期：跟单取开仓备注
"
"passed","Tue Aug 19 17:19:50 CST 2025","Tue Aug 19 17:19:51 CST 2025","1262","test_vps","test_vpsfixed_annotations","TestVPSOrderSend_AllRemarkScenarios","","","修改策略账号信息（场景一）","
### 用例说明
- 前置条件：有vps策略和vps跟单，验证三种备注场景的跟单行为
- 三种场景：
  1. 策略有固定注释，跟单无固定注释 → 预期：跟单取策略备注
  2. 策略有固定注释，跟单有固定注释 → 预期：跟单取自身备注
  3. 策略开启订单备注，跟单无固定注释 → 预期：跟单取开仓备注
"
"passed","Tue Aug 19 17:19:54 CST 2025","Tue Aug 19 17:19:55 CST 2025","1290","test_vps","test_vpsfixed_annotations","TestVPSOrderSend_AllRemarkScenarios","","","修改跟单账号（场景一：无固定注释）","
### 用例说明
- 前置条件：有vps策略和vps跟单，验证三种备注场景的跟单行为
- 三种场景：
  1. 策略有固定注释，跟单无固定注释 → 预期：跟单取策略备注
  2. 策略有固定注释，跟单有固定注释 → 预期：跟单取自身备注
  3. 策略开启订单备注，跟单无固定注释 → 预期：跟单取开仓备注
"
"passed","Tue Aug 19 17:20:21 CST 2025","Tue Aug 19 17:20:22 CST 2025","1291","test_vps","test_vpsfixed_annotations","TestVPSOrderSend_AllRemarkScenarios","","","修改跟单账号（场景二：有固定注释）","
### 用例说明
- 前置条件：有vps策略和vps跟单，验证三种备注场景的跟单行为
- 三种场景：
  1. 策略有固定注释，跟单无固定注释 → 预期：跟单取策略备注
  2. 策略有固定注释，跟单有固定注释 → 预期：跟单取自身备注
  3. 策略开启订单备注，跟单无固定注释 → 预期：跟单取开仓备注
"
"passed","Tue Aug 19 17:19:58 CST 2025","Tue Aug 19 17:20:12 CST 2025","13270","test_vps","test_vpsfixed_annotations","TestVPSOrderSend_AllRemarkScenarios","","","策略开仓及备注校验（场景一）","
### 用例说明
- 前置条件：有vps策略和vps跟单，验证三种备注场景的跟单行为
- 三种场景：
  1. 策略有固定注释，跟单无固定注释 → 预期：跟单取策略备注
  2. 策略有固定注释，跟单有固定注释 → 预期：跟单取自身备注
  3. 策略开启订单备注，跟单无固定注释 → 预期：跟单取开仓备注
"
"passed","Tue Aug 19 17:20:59 CST 2025","Tue Aug 19 17:21:01 CST 2025","2695","test_vps","test_vpsfixed_annotations","TestVPSOrderSend_AllRemarkScenarios","","","平仓操作（场景二）","
### 用例说明
- 前置条件：有vps策略和vps跟单，验证三种备注场景的跟单行为
- 三种场景：
  1. 策略有固定注释，跟单无固定注释 → 预期：跟单取策略备注
  2. 策略有固定注释，跟单有固定注释 → 预期：跟单取自身备注
  3. 策略开启订单备注，跟单无固定注释 → 预期：跟单取开仓备注
"
"passed","Tue Aug 19 17:21:03 CST 2025","Tue Aug 19 17:21:04 CST 2025","1342","test_vps","test_vpsfixed_annotations","TestVPSOrderSend_AllRemarkScenarios","","","修改策略账号信息（场景三：开启订单备注）","
### 用例说明
- 前置条件：有vps策略和vps跟单，验证三种备注场景的跟单行为
- 三种场景：
  1. 策略有固定注释，跟单无固定注释 → 预期：跟单取策略备注
  2. 策略有固定注释，跟单有固定注释 → 预期：跟单取自身备注
  3. 策略开启订单备注，跟单无固定注释 → 预期：跟单取开仓备注
"
