"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 29 17:10:52 CST 2025","Wed Oct 29 17:10:53 CST 2025","899","test_vps","test_delete","TestDeleteUser","","","数据库校验-VPS数据-批量删除跟单账号",""
"skipped","Wed Oct 29 17:10:28 CST 2025","Wed Oct 29 17:10:28 CST 2025","0","test_vps","test_delete","TestDeleteUser","","","VPS管理-VPS列表列表-清空VPS数据",""
"skipped","Wed Oct 29 17:10:28 CST 2025","Wed Oct 29 17:10:28 CST 2025","0","test_vps","test_delete","TestDeleteUser","","","数据库校验-VPS列表列表-删除VPS",""
"passed","Wed Oct 29 17:09:29 CST 2025","Wed Oct 29 17:09:29 CST 2025","50","test_vps","test_create","TestCreate","","","数据库查询-提取数据库平台ID数据",""
"passed","Wed Oct 29 17:10:57 CST 2025","Wed Oct 29 17:11:01 CST 2025","3069","test_vps","test_delete","TestDeleteUser","","","平台管理-品种管理-删除品种","测试删除用户接口"
"passed","Wed Oct 29 17:09:31 CST 2025","Wed Oct 29 17:09:31 CST 2025","52","test_vps","test_create","TestCreate","","","数据库校验-VPS数据-新增策略账号",""
"skipped","Wed Oct 29 17:09:28 CST 2025","Wed Oct 29 17:09:28 CST 2025","0","test_vps","test_create","TestCreate","","","账号管理-账号列表-新增单个用户",""
"passed","Wed Oct 29 17:10:28 CST 2025","Wed Oct 29 17:10:28 CST 2025","102","test_vps","test_delete","TestDeleteUser","","","数据库校验-组别列表-删除VPS组别",""
"passed","Wed Oct 29 17:11:09 CST 2025","Wed Oct 29 17:11:31 CST 2025","21788","test_vps","test_delete","TestDeleteUser","","","账号管理-账号列表-批量删除账号","测试批量删除用户接口"
"passed","Wed Oct 29 17:10:29 CST 2025","Wed Oct 29 17:10:32 CST 2025","3242","test_vps","test_delete","TestDeleteUser","","","跟单软件看板-VPS数据-删除跟单账号",""
"passed","Wed Oct 29 17:09:29 CST 2025","Wed Oct 29 17:09:29 CST 2025","56","test_vps","test_create","TestCreate","","","数据库校验-组别列表-新增VPS组别",""
"skipped","Wed Oct 29 17:10:28 CST 2025","Wed Oct 29 17:10:28 CST 2025","0","test_vps","test_delete","TestDeleteUser","","","VPS管理-VPS列表列表-强制删除VPS",""
"passed","Wed Oct 29 17:11:05 CST 2025","Wed Oct 29 17:11:05 CST 2025","142","test_vps","test_delete","TestDeleteUser","","","数据库校验-品种管理-删除品种2",""
"skipped","Wed Oct 29 17:10:24 CST 2025","Wed Oct 29 17:10:24 CST 2025","0","test_vps","test_create_scene","TestCreate_Scene","","","修改跟单账号（仅使用后6个数据与模板匹配）",""
"passed","Wed Oct 29 17:09:29 CST 2025","Wed Oct 29 17:09:29 CST 2025","62","test_vps","test_create","TestCreate","","","数据库校验-账号列表-批量新增用户",""
"failed","Wed Oct 29 17:09:30 CST 2025","Wed Oct 29 17:09:31 CST 2025","94","test_vps","test_create","TestCreate","","","数据库校验-品种管理-添加品种2",""
"passed","Wed Oct 29 17:11:01 CST 2025","Wed Oct 29 17:11:04 CST 2025","3066","test_vps","test_delete","TestDeleteUser","","","平台管理-品种管理-删除品种2","测试删除用户接口"
"passed","Wed Oct 29 17:09:30 CST 2025","Wed Oct 29 17:09:30 CST 2025","561","test_vps","test_create","TestCreate","","","数据库校验-品种管理-添加品种",""
"skipped","Wed Oct 29 17:09:30 CST 2025","Wed Oct 29 17:09:30 CST 2025","0","test_vps","test_create","TestCreate","","","平台管理-品种管理-添加品种2",""
"passed","Wed Oct 29 17:11:31 CST 2025","Wed Oct 29 17:11:32 CST 2025","710","test_vps","test_delete","TestDeleteUser","","","数据库校验-账号列表-批量删除账号","数据库校验批量删除结果"
"skipped","Wed Oct 29 17:09:29 CST 2025","Wed Oct 29 17:09:29 CST 2025","0","test_vps","test_create","TestCreate","","","账号管理-账号列表-批量新增用户",""
