"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Oct 24 17:30:18 CST 2025","Fri Oct 24 17:30:18 CST 2025","0","test_vps","test_delete","TestDeleteUser","","","VPS管理-VPS列表列表-删除VPS数据",""
"passed","Fri Oct 24 17:30:26 CST 2025","Fri Oct 24 17:30:27 CST 2025","1338","test_vps","test_delete","TestDeleteUser","","","平台管理-品种管理-删除品种2","测试删除用户接口"
"passed","Fri Oct 24 17:30:28 CST 2025","Fri Oct 24 17:30:28 CST 2025","153","test_vps","test_delete","TestDeleteUser","","","数据库校验-品种管理-删除品种2",""
"passed","Fri Oct 24 17:30:25 CST 2025","Fri Oct 24 17:30:25 CST 2025","150","test_vps","test_delete","TestDeleteUser","","","数据库校验-品种管理-删除品种",""
"broken","Fri Oct 24 17:30:21 CST 2025","Fri Oct 24 17:30:21 CST 2025","1","test_vps","test_delete","TestDeleteUser","","","跟单软件看板-VPS数据-批量删除跟单账号",""
"broken","Fri Oct 24 17:30:21 CST 2025","Fri Oct 24 17:30:21 CST 2025","0","test_vps","test_delete","TestDeleteUser","","","数据库校验-VPS数据-批量删除跟单账号",""
"passed","Fri Oct 24 17:30:23 CST 2025","Fri Oct 24 17:30:23 CST 2025","121","test_vps","test_delete","TestDeleteUser","","","数据库校验-VPS数据-删除策略账号",""
"skipped","Fri Oct 24 17:30:18 CST 2025","Fri Oct 24 17:30:18 CST 2025","0","test_vps","test_delete","TestDeleteUser","","","数据库校验-VPS列表列表-删除VPS",""
"skipped","Fri Oct 24 17:30:18 CST 2025","Fri Oct 24 17:30:18 CST 2025","0","test_vps","test_delete","TestDeleteUser","","","VPS管理-VPS列表列表-清空VPS数据",""
"skipped","Fri Oct 24 17:30:18 CST 2025","Fri Oct 24 17:30:18 CST 2025","0","test_vps","test_delete","TestDeleteUser","","","VPS管理-VPS列表列表-强制删除VPS",""
"passed","Fri Oct 24 17:30:44 CST 2025","Fri Oct 24 17:30:45 CST 2025","688","test_vps","test_delete","TestDeleteUser","","","数据库校验-账号列表-批量删除账号","数据库校验批量删除结果"
"failed","Fri Oct 24 17:30:18 CST 2025","Fri Oct 24 17:30:19 CST 2025","1294","test_vps","test_delete","TestDeleteUser","","","跟单软件看板-VPS数据-删除跟单账号",""
"failed","Fri Oct 24 17:30:22 CST 2025","Fri Oct 24 17:30:23 CST 2025","1073","test_vps","test_delete","TestDeleteUser","","","跟单软件看板-VPS数据-删除策略账号",""
"passed","Fri Oct 24 17:30:23 CST 2025","Fri Oct 24 17:30:24 CST 2025","1093","test_vps","test_delete","TestDeleteUser","","","平台管理-品种管理-删除品种","测试删除用户接口"
"passed","Fri Oct 24 17:30:28 CST 2025","Fri Oct 24 17:30:29 CST 2025","1099","test_vps","test_delete","TestDeleteUser","","","账号管理-账号列表-删除账号","测试删除用户接口"
"passed","Fri Oct 24 17:30:36 CST 2025","Fri Oct 24 17:30:44 CST 2025","8226","test_vps","test_delete","TestDeleteUser","","","账号管理-账号列表-批量删除账号","测试批量删除用户接口"
"failed","Fri Oct 24 17:30:29 CST 2025","Fri Oct 24 17:30:36 CST 2025","6428","test_vps","test_delete","TestDeleteUser","","","数据库校验-账号列表-删除账号",""
"passed","Fri Oct 24 17:30:20 CST 2025","Fri Oct 24 17:30:20 CST 2025","159","test_vps","test_delete","TestDeleteUser","","","数据库校验-VPS数据-删除跟单账号",""
"passed","Fri Oct 24 17:30:15 CST 2025","Fri Oct 24 17:30:17 CST 2025","1397","test_vps","test_delete","TestDeleteUser","","","账号管理-组别列表-删除VPS组别",""
"passed","Fri Oct 24 17:30:17 CST 2025","Fri Oct 24 17:30:18 CST 2025","173","test_vps","test_delete","TestDeleteUser","","","数据库校验-组别列表-删除VPS组别",""
