"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Nov 10 10:46:26 CST 2025","Mon Nov 10 10:46:33 CST 2025","7658","test_cloudTrader","test_delete","TestDelete_MT5cloudTrader","","","数据库校验-VPS数据-验证账号是否下架成功（后9个账号）",""
"passed","Mon Nov 10 10:46:02 CST 2025","Mon Nov 10 10:46:02 CST 2025","53","test_cloudTrader","test_create","TestCreate_MT5cloudTrader","","","数据库校验-云策略列表-新增云跟单-手动下单",""
"passed","Mon Nov 10 10:46:23 CST 2025","Mon Nov 10 10:46:25 CST 2025","1782","test_cloudTrader","test_delete","TestDelete_MT5cloudTrader","","","账号管理-账号列表-批量下架VPS（后9个账号）",""
"passed","Mon Nov 10 10:44:34 CST 2025","Mon Nov 10 10:45:51 CST 2025","77667","test_cloudTrader","test_create","TestCreate_MT5cloudTrader","","","数据库校验-批量挂靠VPS跟单（后9个账号）",""
"skipped","Mon Nov 10 10:45:53 CST 2025","Mon Nov 10 10:45:53 CST 2025","0","test_cloudTrader","test_create","TestCreate_MT5cloudTrader","","","云策略-云策略列表-新增云跟单账号",""
"passed","Mon Nov 10 10:46:48 CST 2025","Mon Nov 10 10:47:05 CST 2025","16622","test_cloudTrader","test_delete","TestDelete_MT5cloudTrader","","","账号管理-账号列表-批量删除账号","测试批量删除用户接口"
"skipped","Mon Nov 10 10:45:54 CST 2025","Mon Nov 10 10:45:54 CST 2025","0","test_cloudTrader","test_create","TestCreate_MT5cloudTrader","","","平台管理-品种管理-添加品种2",""
"failed","Mon Nov 10 10:45:53 CST 2025","Mon Nov 10 10:45:53 CST 2025","70","test_cloudTrader","test_create","TestCreate_MT5cloudTrader","","","数据库校验-云策略列表-新增云跟单账号",""
"skipped","Mon Nov 10 10:44:33 CST 2025","Mon Nov 10 10:44:33 CST 2025","0","test_cloudTrader","test_create","TestCreate_MT5cloudTrader","","","账号管理-账号列表-批量挂靠VPS跟单（后9个账号）",""
"passed","Mon Nov 10 10:46:13 CST 2025","Mon Nov 10 10:46:15 CST 2025","1481","test_cloudTrader","test_delete","TestDelete_MT5cloudTrader","","","云策略-云策略列表-删除云跟单账号",""
"skipped","Mon Nov 10 10:45:52 CST 2025","Mon Nov 10 10:45:52 CST 2025","0","test_cloudTrader","test_create","TestCreate_MT5cloudTrader","","","云策略-云策略列表-新增MT5云策略",""
"skipped","Mon Nov 10 10:44:33 CST 2025","Mon Nov 10 10:44:33 CST 2025","0","test_cloudTrader","test_create","TestCreate_MT5cloudTrader","","","跟单软件看板-VPS数据-新增策略账号",""
"skipped","Mon Nov 10 10:45:51 CST 2025","Mon Nov 10 10:45:51 CST 2025","0","test_cloudTrader","test_create","TestCreate_MT5cloudTrader","","","账号管理-组别列表-新增MT5云策略组别",""
"passed","Mon Nov 10 10:47:16 CST 2025","Mon Nov 10 10:47:16 CST 2025","105","test_cloudTrader","test_delete","TestDelete_MT5cloudTrader","","","数据库校验-云策略列表-删除云策略",""
"failed","Mon Nov 10 10:45:54 CST 2025","Mon Nov 10 10:45:54 CST 2025","120","test_cloudTrader","test_create","TestCreate_MT5cloudTrader","","","数据库校验-品种管理-添加品种",""
"skipped","Mon Nov 10 10:45:53 CST 2025","Mon Nov 10 10:45:53 CST 2025","0","test_cloudTrader","test_create","TestCreate_MT5cloudTrader","","","平台管理-品种管理-添加品种",""
"skipped","Mon Nov 10 10:46:02 CST 2025","Mon Nov 10 10:46:02 CST 2025","0","test_cloudTrader","test_create_scene","TestCreate_importMT5cloudTrader","","","修改跟单账号（仅使用后6个数据与模板匹配）",""
"passed","Mon Nov 10 10:47:05 CST 2025","Mon Nov 10 10:47:06 CST 2025","1010","test_cloudTrader","test_delete","TestDelete_MT5cloudTrader","","","数据库校验-账号列表-批量删除账号","数据库校验批量删除结果"
"passed","Mon Nov 10 10:45:58 CST 2025","Mon Nov 10 10:45:58 CST 2025","51","test_cloudTrader","test_create","TestCreate_MT5cloudTrader","","","数据库校验-云策略列表-新增MT5云策略-手动下单",""
"passed","Mon Nov 10 10:46:20 CST 2025","Mon Nov 10 10:46:21 CST 2025","1501","test_cloudTrader","test_delete","TestDelete_MT5cloudTrader","","","云策略-云策略列表-删除云策略账号",""
"passed","Mon Nov 10 10:45:56 CST 2025","Mon Nov 10 10:45:57 CST 2025","1523","test_cloudTrader","test_create","TestCreate_MT5cloudTrader","","","test_create_handcloudMaster",""
"passed","Mon Nov 10 10:47:11 CST 2025","Mon Nov 10 10:47:13 CST 2025","1870","test_cloudTrader","test_delete","TestDelete_MT5cloudTrader","","","平台管理-品种管理-删除品种2","测试删除用户接口"
"passed","Mon Nov 10 10:46:22 CST 2025","Mon Nov 10 10:46:22 CST 2025","106","test_cloudTrader","test_delete","TestDelete_MT5cloudTrader","","","数据库校验-云策略列表-删除云策略账号",""
"failed","Mon Nov 10 10:45:52 CST 2025","Mon Nov 10 10:45:52 CST 2025","50","test_cloudTrader","test_create","TestCreate_MT5cloudTrader","","","数据库校验-云策略列表-新增MT5云策略",""
"passed","Mon Nov 10 10:46:19 CST 2025","Mon Nov 10 10:46:19 CST 2025","106","test_cloudTrader","test_delete","TestDelete_MT5cloudTrader","","","数据库校验-云策略列表-删除云跟单账号-手动下单",""
"failed","Mon Nov 10 10:45:54 CST 2025","Mon Nov 10 10:45:55 CST 2025","119","test_cloudTrader","test_create","TestCreate_MT5cloudTrader","","","数据库校验-品种管理-添加品种2",""
"failed","Mon Nov 10 10:46:02 CST 2025","Mon Nov 10 10:46:02 CST 2025","56","test_cloudTrader","test_create_scene","TestCreate_importMT5cloudTrader","","","数据库校验-云策略列表-批量新增云跟单账号",""
"passed","Mon Nov 10 10:46:46 CST 2025","Mon Nov 10 10:46:46 CST 2025","102","test_cloudTrader","test_delete","TestDelete_MT5cloudTrader","","","数据库校验-VPS数据-删除策略账号",""
"skipped","Mon Nov 10 10:44:32 CST 2025","Mon Nov 10 10:44:32 CST 2025","0","test_cloudTrader","test_create","TestCreate_MT5cloudTrader","","","账号管理-账号列表-批量新增用户",""
"passed","Mon Nov 10 10:44:33 CST 2025","Mon Nov 10 10:44:33 CST 2025","58","test_cloudTrader","test_create","TestCreate_MT5cloudTrader","","","数据库校验-VPS数据-新增策略账号",""
"passed","Mon Nov 10 10:46:15 CST 2025","Mon Nov 10 10:46:15 CST 2025","103","test_cloudTrader","test_delete","TestDelete_MT5cloudTrader","","","数据库校验-云策略列表-删除云跟单账号",""
"passed","Mon Nov 10 10:47:23 CST 2025","Mon Nov 10 10:47:23 CST 2025","104","test_cloudTrader","test_delete","TestDelete_MT5cloudTrader","","","数据库校验-组别列表-删除MT5云策略组别",""
"passed","Mon Nov 10 10:46:17 CST 2025","Mon Nov 10 10:46:18 CST 2025","1525","test_cloudTrader","test_delete","TestDelete_MT5cloudTrader","","","云策略-云策略列表-删除云跟单账号-手动下单",""
"passed","Mon Nov 10 10:47:07 CST 2025","Mon Nov 10 10:47:09 CST 2025","1763","test_cloudTrader","test_delete","TestDelete_MT5cloudTrader","","","平台管理-品种管理-删除品种","测试删除用户接口"
"failed","Mon Nov 10 10:45:53 CST 2025","Mon Nov 10 10:45:53 CST 2025","53","test_cloudTrader","test_create","TestCreate_MT5cloudTrader","","","数据库校验-云策略列表-新增策略账号",""
"failed","Mon Nov 10 10:45:52 CST 2025","Mon Nov 10 10:45:52 CST 2025","50","test_cloudTrader","test_create","TestCreate_MT5cloudTrader","","","数据库校验-组别列表-新增MT5云策略组别",""
"passed","Mon Nov 10 10:47:14 CST 2025","Mon Nov 10 10:47:16 CST 2025","1492","test_cloudTrader","test_delete","TestDelete_MT5cloudTrader","","","云策略-云策略列表-删除云策略",""
"passed","Mon Nov 10 10:46:45 CST 2025","Mon Nov 10 10:46:46 CST 2025","1266","test_cloudTrader","test_delete","TestDelete_MT5cloudTrader","","","跟单软件看板-VPS数据-删除策略账号",""
"passed","Mon Nov 10 10:45:59 CST 2025","Mon Nov 10 10:46:01 CST 2025","1914","test_cloudTrader","test_create","TestCreate_MT5cloudTrader","","","test_create_handcloudBatchAdd",""
"passed","Mon Nov 10 10:47:19 CST 2025","Mon Nov 10 10:47:19 CST 2025","106","test_cloudTrader","test_delete","TestDelete_MT5cloudTrader","","","数据库校验-云策略列表-删除云策略-手动下单",""
"passed","Mon Nov 10 10:47:13 CST 2025","Mon Nov 10 10:47:13 CST 2025","170","test_cloudTrader","test_delete","TestDelete_MT5cloudTrader","","","数据库校验-品种管理-删除品种2",""
"passed","Mon Nov 10 10:44:33 CST 2025","Mon Nov 10 10:44:33 CST 2025","56","test_cloudTrader","test_create","TestCreate_MT5cloudTrader","","","数据库查询-获取VPSID",""
"passed","Mon Nov 10 10:44:32 CST 2025","Mon Nov 10 10:44:32 CST 2025","66","test_cloudTrader","test_create","TestCreate_MT5cloudTrader","","","数据库校验-账号列表-批量新增用户",""
"passed","Mon Nov 10 10:47:21 CST 2025","Mon Nov 10 10:47:22 CST 2025","1506","test_cloudTrader","test_delete","TestDelete_MT5cloudTrader","","","账号管理-组别列表-删除MT5云策略组别",""
"skipped","Mon Nov 10 10:46:02 CST 2025","Mon Nov 10 10:46:02 CST 2025","0","test_cloudTrader","test_create_scene","TestCreate_importMT5cloudTrader","","","云策略-云策略列表-批量新增云跟单账号",""
"passed","Mon Nov 10 10:47:17 CST 2025","Mon Nov 10 10:47:19 CST 2025","1503","test_cloudTrader","test_delete","TestDelete_MT5cloudTrader","","","云策略-云策略列表-删除云策略-手动下单",""
"passed","Mon Nov 10 10:47:09 CST 2025","Mon Nov 10 10:47:09 CST 2025","174","test_cloudTrader","test_delete","TestDelete_MT5cloudTrader","","","数据库校验-品种管理-删除品种",""
"skipped","Mon Nov 10 10:45:53 CST 2025","Mon Nov 10 10:45:53 CST 2025","0","test_cloudTrader","test_create","TestCreate_MT5cloudTrader","","","云策略-云策略列表-新增策略账号",""
