"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Jul 23 09:43:22 CST 2025","Wed Jul 23 09:43:22 CST 2025","0","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-复制默认节点",""
"passed","Wed Jul 23 09:42:46 CST 2025","Wed Jul 23 09:42:50 CST 2025","3511","test_vps","test_create","TestCreate","","","账号管理-账号列表-新增单个用户",""
"passed","Wed Jul 23 09:43:01 CST 2025","Wed Jul 23 09:43:01 CST 2025","48","test_vps","test_create","TestCreate","","","数据库校验-组别列表-新增VPS组别",""
"passed","Wed Jul 23 09:42:52 CST 2025","Wed Jul 23 09:42:56 CST 2025","3989","test_vps","test_create","TestCreate","","","账号管理-账号列表-批量新增用户",""
"passed","Wed Jul 23 09:43:23 CST 2025","Wed Jul 23 09:43:32 CST 2025","9292","test_vps","test_create","TestCreate","","","跟单软件看板-VPS数据-新增策略账号",""
"passed","Wed Jul 23 09:43:34 CST 2025","Wed Jul 23 09:43:43 CST 2025","9242","test_vps","test_create","TestCreate","","","跟单软件看板-VPS数据-新增跟单账号",""
"skipped","Wed Jul 23 09:43:22 CST 2025","Wed Jul 23 09:43:22 CST 2025","0","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-获取要复制的VPS的ID",""
"passed","Wed Jul 23 09:43:06 CST 2025","Wed Jul 23 09:43:07 CST 2025","278","test_vps","test_create","TestCreate","","","数据库校验-品种管理-添加品种",""
"passed","Wed Jul 23 09:42:50 CST 2025","Wed Jul 23 09:42:51 CST 2025","49","test_vps","test_create","TestCreate","","","数据库校验-账号列表-新增用户",""
"passed","Wed Jul 23 09:43:13 CST 2025","Wed Jul 23 09:43:17 CST 2025","3524","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-获取可见用户信息",""
"passed","Wed Jul 23 09:43:08 CST 2025","Wed Jul 23 09:43:12 CST 2025","3541","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-校验服务器IP是否可用",""
"passed","Wed Jul 23 09:42:56 CST 2025","Wed Jul 23 09:42:56 CST 2025","54","test_vps","test_create","TestCreate","","","数据库校验-账号列表-批量新增用户",""
"passed","Wed Jul 23 09:43:32 CST 2025","Wed Jul 23 09:43:32 CST 2025","50","test_vps","test_create","TestCreate","","","数据库校验-VPS数据-新增策略账号",""
"passed","Wed Jul 23 09:43:18 CST 2025","Wed Jul 23 09:43:21 CST 2025","3523","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-新增vps",""
"passed","Wed Jul 23 09:42:58 CST 2025","Wed Jul 23 09:43:01 CST 2025","3516","test_vps","test_create","TestCreate","","","账号管理-组别列表-新增VPS组别",""
"passed","Wed Jul 23 09:43:03 CST 2025","Wed Jul 23 09:43:06 CST 2025","3606","test_vps","test_create","TestCreate","","","平台管理-品种管理-添加品种",""
"passed","Wed Jul 23 09:43:21 CST 2025","Wed Jul 23 09:43:21 CST 2025","50","test_vps","test_create","TestCreate","","","数据库校验-VPS列表-新增vps",""
"passed","Wed Jul 23 09:43:43 CST 2025","Wed Jul 23 09:43:43 CST 2025","95","test_vps","test_create","TestCreate","","","数据库校验-VPS数据-新增跟单账号",""
