"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 22 20:12:49 CST 2025","Tue Jul 22 20:12:52 CST 2025","3605","test_vps","test_delete_scene","TestDeleteTrader","","","平台管理-品种管理-删除品种","测试删除用户接口"
"passed","Tue Jul 22 20:08:18 CST 2025","Tue Jul 22 20:08:27 CST 2025","9427","test_vps","test_create","TestCreate","","","跟单软件看板-VPS数据-新增跟单账号",""
"passed","Tue Jul 22 20:07:23 CST 2025","Tue Jul 22 20:07:24 CST 2025","270","test_vps","test_create","TestCreate","","","数据库校验-品种管理-添加品种",""
"skipped","Tue Jul 22 20:07:54 CST 2025","Tue Jul 22 20:07:54 CST 2025","0","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-复制默认节点",""
"passed","Tue Jul 22 20:13:00 CST 2025","Tue Jul 22 20:13:25 CST 2025","25268","test_vps","test_delete_scene","TestDeleteTrader","","","账号管理-账号列表-批量删除账号","测试批量删除用户接口"
"passed","Tue Jul 22 20:12:20 CST 2025","Tue Jul 22 20:12:21 CST 2025","168","test_vps","test_delete_scene","TestDeleteTrader","","","数据库校验-VPS数据-删除跟单账号",""
"passed","Tue Jul 22 20:12:54 CST 2025","Tue Jul 22 20:12:58 CST 2025","3534","test_vps","test_delete_scene","TestDeleteTrader","","","账号管理-账号列表-删除账号","测试删除用户接口"
"passed","Tue Jul 22 20:09:26 CST 2025","Tue Jul 22 20:11:08 CST 2025","102026","test_vps","test_create_scene","TestCreate_Scene","","","数据库校验-VPS数据-批量新增跟单账号",""
"failed","Tue Jul 22 20:07:03 CST 2025","Tue Jul 22 20:07:07 CST 2025","3507","test_vps","test_create","TestCreate","","","账号管理-账号列表-新增单个用户",""
"passed","Tue Jul 22 20:07:14 CST 2025","Tue Jul 22 20:07:18 CST 2025","3517","test_vps","test_create","TestCreate","","","账号管理-组别列表-新增VPS组别",""
