"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 14 16:48:56 CST 2025","Tue Oct 14 16:48:56 CST 2025","54","test_vps","test_create","TestCreate","","","数据库校验-账号列表-批量新增用户",""
"passed","Tue Oct 14 16:49:18 CST 2025","Tue Oct 14 16:49:18 CST 2025","200","test_vps","test_delete","TestDeleteUser","","","数据库校验-账号列表-批量删除账号","数据库校验批量删除结果"
"passed","Tue Oct 14 16:49:11 CST 2025","Tue Oct 14 16:49:11 CST 2025","96","test_vps","test_delete","TestDeleteUser","","","数据库校验-组别列表-删除VPS组别",""
"passed","Tue Oct 14 16:49:14 CST 2025","Tue Oct 14 16:49:15 CST 2025","1271","test_vps","test_delete","TestDeleteUser","","","跟单软件看板-VPS数据-删除策略账号",""
"passed","Tue Oct 14 16:48:34 CST 2025","Tue Oct 14 16:48:56 CST 2025","21683","test_vps","test_create","TestCreate","","","账号管理-账号列表-批量新增用户",""
"passed","Tue Oct 14 16:48:58 CST 2025","Tue Oct 14 16:49:03 CST 2025","5480","test_vps","test_create","TestCreate","","","跟单软件看板-VPS数据-新增策略账号",""
"passed","Tue Oct 14 16:48:57 CST 2025","Tue Oct 14 16:48:58 CST 2025","51","test_vps","test_create","TestCreate","","","数据库校验-组别列表-新增VPS组别",""
"passed","Tue Oct 14 16:49:09 CST 2025","Tue Oct 14 16:49:10 CST 2025","283","test_vps","test_create","TestCreate","","","数据库校验-VPS数据-新增跟单账号",""
"passed","Tue Oct 14 16:49:04 CST 2025","Tue Oct 14 16:49:09 CST 2025","5493","test_vps","test_create","TestCreate","","","跟单软件看板-VPS数据-新增跟单账号",""
"passed","Tue Oct 14 16:49:16 CST 2025","Tue Oct 14 16:49:18 CST 2025","2168","test_vps","test_delete","TestDeleteUser","","","账号管理-账号列表-批量删除账号","测试批量删除用户接口"
"passed","Tue Oct 14 16:49:15 CST 2025","Tue Oct 14 16:49:15 CST 2025","96","test_vps","test_delete","TestDeleteUser","","","数据库校验-VPS数据-删除策略账号",""
"passed","Tue Oct 14 16:49:12 CST 2025","Tue Oct 14 16:49:13 CST 2025","1238","test_vps","test_delete","TestDeleteUser","","","跟单软件看板-VPS数据-删除跟单账号",""
"passed","Tue Oct 14 16:49:10 CST 2025","Tue Oct 14 16:49:11 CST 2025","1086","test_vps","test_delete","TestDeleteUser","","","账号管理-组别列表-删除VPS组别",""
"passed","Tue Oct 14 16:48:56 CST 2025","Tue Oct 14 16:48:57 CST 2025","1100","test_vps","test_create","TestCreate","","","账号管理-组别列表-新增VPS组别",""
"passed","Tue Oct 14 16:49:03 CST 2025","Tue Oct 14 16:49:03 CST 2025","51","test_vps","test_create","TestCreate","","","数据库校验-VPS数据-新增策略账号",""
"passed","Tue Oct 14 16:49:13 CST 2025","Tue Oct 14 16:49:13 CST 2025","148","test_vps","test_delete","TestDeleteUser","","","数据库校验-VPS数据-删除跟单账号",""
"passed","Tue Oct 14 16:48:33 CST 2025","Tue Oct 14 16:48:33 CST 2025","52","test_vps","test_create","TestCreate","","","数据库查询-提取数据库平台ID数据",""
