"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 20 15:45:18 CST 2025","Wed Aug 20 15:45:18 CST 2025","60","test_vps","test_create","TestCreate","","","数据库查询-提取数据库平台ID数据",""
"passed","Wed Aug 20 15:45:41 CST 2025","Wed Aug 20 15:45:50 CST 2025","8096","test_vps","test_create","TestCreate","","","跟单软件看板-VPS数据-新增策略账号",""
"skipped","Wed Aug 20 15:45:40 CST 2025","Wed Aug 20 15:45:40 CST 2025","0","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-获取要复制的VPS的ID",""
"passed","Wed Aug 20 15:45:40 CST 2025","Wed Aug 20 15:45:40 CST 2025","53","test_vps","test_create","TestCreate","","","数据库校验-VPS列表-新增vps",""
"passed","Wed Aug 20 15:45:20 CST 2025","Wed Aug 20 15:45:22 CST 2025","2044","test_vps","test_create","TestCreate","","","账号管理-账号列表-批量新增用户",""
"passed","Wed Aug 20 15:45:18 CST 2025","Wed Aug 20 15:45:18 CST 2025","68","test_vps","test_create","TestCreate","","","数据库校验-账号列表-新增用户",""
"passed","Wed Aug 20 15:45:35 CST 2025","Wed Aug 20 15:45:36 CST 2025","1524","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-获取可见用户信息",""
"passed","Wed Aug 20 15:45:22 CST 2025","Wed Aug 20 15:45:22 CST 2025","65","test_vps","test_create","TestCreate","","","数据库校验-账号列表-批量新增用户",""
"passed","Wed Aug 20 15:45:29 CST 2025","Wed Aug 20 15:45:30 CST 2025","293","test_vps","test_create","TestCreate","","","数据库校验-品种管理-添加品种",""
"skipped","Wed Aug 20 15:45:40 CST 2025","Wed Aug 20 15:45:40 CST 2025","0","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-复制默认节点",""
"passed","Wed Aug 20 15:45:50 CST 2025","Wed Aug 20 15:45:50 CST 2025","56","test_vps","test_create","TestCreate","","","数据库校验-VPS数据-新增策略账号",""
"passed","Wed Aug 20 15:45:16 CST 2025","Wed Aug 20 15:45:17 CST 2025","1541","test_vps","test_create","TestCreate","","","账号管理-账号列表-新增单个用户",""
"passed","Wed Aug 20 15:45:26 CST 2025","Wed Aug 20 15:45:26 CST 2025","52","test_vps","test_create","TestCreate","","","数据库校验-组别列表-新增VPS组别",""
"passed","Wed Aug 20 15:45:27 CST 2025","Wed Aug 20 15:45:29 CST 2025","1642","test_vps","test_create","TestCreate","","","平台管理-品种管理-添加品种",""
"passed","Wed Aug 20 15:45:58 CST 2025","Wed Aug 20 15:45:58 CST 2025","103","test_vps","test_create","TestCreate","","","数据库校验-VPS数据-新增跟单账号",""
"passed","Wed Aug 20 15:45:31 CST 2025","Wed Aug 20 15:45:33 CST 2025","1532","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-校验服务器IP是否可用",""
"passed","Wed Aug 20 15:45:24 CST 2025","Wed Aug 20 15:45:25 CST 2025","1536","test_vps","test_create","TestCreate","","","账号管理-组别列表-新增VPS组别",""
"passed","Wed Aug 20 15:45:51 CST 2025","Wed Aug 20 15:45:58 CST 2025","6925","test_vps","test_create","TestCreate","","","跟单软件看板-VPS数据-新增跟单账号",""
"passed","Wed Aug 20 15:45:38 CST 2025","Wed Aug 20 15:45:39 CST 2025","1574","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-新增vps",""
