"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 19 18:02:02 CST 2025","Tue Aug 19 18:02:02 CST 2025","183","test_vps","test_delete_scene","TestDeleteTrader","","","数据库校验-VPS数据-删除跟单账号",""
"passed","Tue Aug 19 18:02:12 CST 2025","Tue Aug 19 18:02:12 CST 2025","165","test_vps","test_delete_scene","TestDeleteTrader","","","数据库校验-品种管理-删除品种",""
"passed","Tue Aug 19 18:01:22 CST 2025","Tue Aug 19 18:01:22 CST 2025","63","test_vps","test_delete","TestDeleteUser","","","数据库校验-VPS列表列表-删除VPS",""
"passed","Tue Aug 19 18:01:04 CST 2025","Tue Aug 19 18:01:21 CST 2025","16555","test_vps","test_delete","TestDeleteUser","","","VPS管理-VPS列表列表-强制删除VPS",""
"broken","Tue Aug 19 18:02:04 CST 2025","Tue Aug 19 18:02:04 CST 2025","0","test_vps","test_delete_scene","TestDeleteTrader","","","数据库校验-VPS数据-批量删除跟单账号",""
"passed","Tue Aug 19 18:00:29 CST 2025","Tue Aug 19 18:00:29 CST 2025","91","test_vps","test_delete","TestDeleteUser","","","数据库校验-组别列表-删除VPS组别",""
"passed","Tue Aug 19 18:02:10 CST 2025","Tue Aug 19 18:02:12 CST 2025","1546","test_vps","test_delete_scene","TestDeleteTrader","","","平台管理-品种管理-删除品种","测试删除用户接口"
"passed","Tue Aug 19 18:02:25 CST 2025","Tue Aug 19 18:02:26 CST 2025","1506","test_vps","test_delete_scene","TestDeleteTrader","","","账号管理-账号列表-删除账号","测试删除用户接口"
"passed","Tue Aug 19 18:02:40 CST 2025","Tue Aug 19 18:02:41 CST 2025","727","test_vps","test_delete_scene","TestDeleteTrader","","","数据库校验-账号列表-批量删除账号","数据库校验批量删除结果"
"passed","Tue Aug 19 18:02:00 CST 2025","Tue Aug 19 18:02:01 CST 2025","1502","test_vps","test_delete_scene","TestDeleteTrader","","","跟单软件看板-VPS数据-删除跟单账号",""
"passed","Tue Aug 19 18:02:28 CST 2025","Tue Aug 19 18:02:39 CST 2025","10830","test_vps","test_delete_scene","TestDeleteTrader","","","账号管理-账号列表-批量删除账号","测试批量删除用户接口"
"passed","Tue Aug 19 18:02:09 CST 2025","Tue Aug 19 18:02:09 CST 2025","107","test_vps","test_delete_scene","TestDeleteTrader","","","数据库校验-VPS数据-删除策略账号",""
"passed","Tue Aug 19 18:00:47 CST 2025","Tue Aug 19 18:01:03 CST 2025","16518","test_vps","test_delete","TestDeleteUser","","","VPS管理-VPS列表列表-删除VPS数据",""
"skipped","Tue Aug 19 18:00:29 CST 2025","Tue Aug 19 18:00:29 CST 2025","0","test_vps","test_delete","TestDeleteUser","","","VPS管理-VPS列表列表-清空VPS数据",""
"passed","Tue Aug 19 18:00:27 CST 2025","Tue Aug 19 18:00:29 CST 2025","1523","test_vps","test_delete","TestDeleteUser","","","账号管理-组别列表-删除VPS组别",""
"passed","Tue Aug 19 18:02:07 CST 2025","Tue Aug 19 18:02:08 CST 2025","1310","test_vps","test_delete_scene","TestDeleteTrader","","","跟单软件看板-VPS数据-删除策略账号",""
"broken","Tue Aug 19 18:02:03 CST 2025","Tue Aug 19 18:02:03 CST 2025","0","test_vps","test_delete_scene","TestDeleteTrader","","","跟单软件看板-VPS数据-批量删除跟单账号",""
"passed","Tue Aug 19 18:02:27 CST 2025","Tue Aug 19 18:02:27 CST 2025","101","test_vps","test_delete_scene","TestDeleteTrader","","","数据库校验-账号列表-删除账号",""
