"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 21 10:26:44 CST 2025","Thu Aug 21 10:26:44 CST 2025","166","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-品种管理-删除品种",""
"passed","Thu Aug 21 10:26:42 CST 2025","Thu Aug 21 10:26:43 CST 2025","1523","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","平台管理-品种管理-删除品种","测试删除用户接口"
"passed","Thu Aug 21 10:26:02 CST 2025","Thu Aug 21 10:26:03 CST 2025","1530","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","云策略-云策略列表-删除云跟单账号",""
"passed","Thu Aug 21 10:26:54 CST 2025","Thu Aug 21 10:26:54 CST 2025","97","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-组别列表-删除云策略组别",""
"passed","Thu Aug 21 10:26:51 CST 2025","Thu Aug 21 10:26:51 CST 2025","99","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-云策略列表-删除云策略-手动下单",""
"passed","Thu Aug 21 10:26:04 CST 2025","Thu Aug 21 10:26:04 CST 2025","96","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-云策略列表-删除云跟单账号",""
"passed","Thu Aug 21 10:26:20 CST 2025","Thu Aug 21 10:26:22 CST 2025","1330","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","跟单软件看板-VPS数据-删除策略账号",""
"passed","Thu Aug 21 10:26:05 CST 2025","Thu Aug 21 10:26:07 CST 2025","1523","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","云策略-云策略列表-删除云跟单账号-手动下单",""
"passed","Thu Aug 21 10:26:14 CST 2025","Thu Aug 21 10:26:14 CST 2025","101","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-云策略列表-删除云策略账号",""
"passed","Thu Aug 21 10:26:45 CST 2025","Thu Aug 21 10:26:47 CST 2025","1516","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","云策略-云策略列表-删除云策略",""
"passed","Thu Aug 21 10:26:39 CST 2025","Thu Aug 21 10:26:40 CST 2025","1032","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-账号列表-批量删除账号","数据库校验批量删除结果"
"passed","Thu Aug 21 10:26:18 CST 2025","Thu Aug 21 10:26:19 CST 2025","1310","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-VPS数据-验证账号是否下架成功（后9个账号）",""
"passed","Thu Aug 21 10:26:52 CST 2025","Thu Aug 21 10:26:53 CST 2025","1499","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","账号管理-组别列表-删除云策略组别",""
"passed","Thu Aug 21 10:26:49 CST 2025","Thu Aug 21 10:26:50 CST 2025","1564","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","云策略-云策略列表-删除云策略-手动下单",""
"passed","Thu Aug 21 10:26:12 CST 2025","Thu Aug 21 10:26:14 CST 2025","1531","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","云策略-云策略列表-删除云策略账号",""
"passed","Thu Aug 21 10:26:07 CST 2025","Thu Aug 21 10:26:07 CST 2025","101","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-云策略列表-删除云跟单账号-手动下单",""
"passed","Thu Aug 21 10:26:22 CST 2025","Thu Aug 21 10:26:22 CST 2025","101","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-VPS数据-删除策略账号",""
"passed","Thu Aug 21 10:26:09 CST 2025","Thu Aug 21 10:26:10 CST 2025","1527","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","云策略-云策略列表-删除云策略manager账号",""
"passed","Thu Aug 21 10:26:15 CST 2025","Thu Aug 21 10:26:17 CST 2025","1919","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","账号管理-账号列表-批量下架VPS（后9个账号）",""
"passed","Thu Aug 21 10:26:47 CST 2025","Thu Aug 21 10:26:47 CST 2025","101","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-云策略列表-删除云策略",""
"passed","Thu Aug 21 10:26:24 CST 2025","Thu Aug 21 10:26:39 CST 2025","15156","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","账号管理-账号列表-批量删除账号","测试批量删除用户接口"
"passed","Thu Aug 21 10:26:11 CST 2025","Thu Aug 21 10:26:11 CST 2025","95","test_cloudTrader","test_delete","TestDelete_cloudTrader","","","数据库校验-云策略列表-删除云策略manager账号",""
