"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 21 10:47:47 CST 2025","Thu Aug 21 10:47:48 CST 2025","1520","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-获取可见用户信息",""
"passed","Thu Aug 21 10:47:51 CST 2025","Thu Aug 21 10:47:51 CST 2025","74","test_vps","test_create","TestCreate","","","数据库校验-VPS列表-新增vps",""
"passed","Thu Aug 21 10:47:40 CST 2025","Thu Aug 21 10:47:42 CST 2025","1607","test_vps","test_create","TestCreate","","","平台管理-品种管理-添加品种",""
"passed","Thu Aug 21 10:47:42 CST 2025","Thu Aug 21 10:47:43 CST 2025","289","test_vps","test_create","TestCreate","","","数据库校验-品种管理-添加品种",""
"passed","Thu Aug 21 10:47:37 CST 2025","Thu Aug 21 10:47:39 CST 2025","1540","test_vps","test_create","TestCreate","","","账号管理-组别列表-新增VPS组别",""
"skipped","Thu Aug 21 10:47:51 CST 2025","Thu Aug 21 10:47:51 CST 2025","0","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-获取要复制的VPS的ID",""
"passed","Thu Aug 21 10:47:39 CST 2025","Thu Aug 21 10:47:39 CST 2025","52","test_vps","test_create","TestCreate","","","数据库校验-组别列表-新增VPS组别",""
"passed","Thu Aug 21 10:48:02 CST 2025","Thu Aug 21 10:48:10 CST 2025","7729","test_vps","test_create","TestCreate","","","跟单软件看板-VPS数据-新增跟单账号",""
"passed","Thu Aug 21 10:47:36 CST 2025","Thu Aug 21 10:47:36 CST 2025","59","test_vps","test_create","TestCreate","","","数据库校验-账号列表-批量新增用户",""
"passed","Thu Aug 21 10:48:10 CST 2025","Thu Aug 21 10:48:10 CST 2025","122","test_vps","test_create","TestCreate","","","数据库校验-VPS数据-新增跟单账号",""
"passed","Thu Aug 21 10:48:01 CST 2025","Thu Aug 21 10:48:01 CST 2025","55","test_vps","test_create","TestCreate","","","数据库校验-VPS数据-新增策略账号",""
"passed","Thu Aug 21 10:47:44 CST 2025","Thu Aug 21 10:47:46 CST 2025","1510","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-校验服务器IP是否可用",""
"passed","Thu Aug 21 10:47:28 CST 2025","Thu Aug 21 10:47:30 CST 2025","1515","test_vps","test_create","TestCreate","","","账号管理-账号列表-新增单个用户",""
"passed","Thu Aug 21 10:47:53 CST 2025","Thu Aug 21 10:48:00 CST 2025","7206","test_vps","test_create","TestCreate","","","跟单软件看板-VPS数据-新增策略账号",""
"passed","Thu Aug 21 10:47:30 CST 2025","Thu Aug 21 10:47:31 CST 2025","50","test_vps","test_create","TestCreate","","","数据库校验-账号列表-新增用户",""
"skipped","Thu Aug 21 10:47:51 CST 2025","Thu Aug 21 10:47:51 CST 2025","0","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-复制默认节点",""
"passed","Thu Aug 21 10:47:49 CST 2025","Thu Aug 21 10:47:51 CST 2025","1548","test_vps","test_create","TestCreate","","","VPS管理-VPS列表-新增vps",""
"passed","Thu Aug 21 10:47:31 CST 2025","Thu Aug 21 10:47:31 CST 2025","53","test_vps","test_create","TestCreate","","","数据库查询-提取数据库平台ID数据",""
"passed","Thu Aug 21 10:47:33 CST 2025","Thu Aug 21 10:47:35 CST 2025","2003","test_vps","test_create","TestCreate","","","账号管理-账号列表-批量新增用户",""
