"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Aug 22 17:52:54 CST 2025","Fri Aug 22 17:52:54 CST 2025","0","test_vps","test_delete","TestDeleteUser","","","VPS管理-VPS列表列表-清空VPS数据",""
"passed","Fri Aug 22 17:52:52 CST 2025","Fri Aug 22 17:52:53 CST 2025","1551","test_vps","test_delete","TestDeleteUser","","","账号管理-组别列表-删除VPS组别",""
"passed","Fri Aug 22 17:52:55 CST 2025","Fri Aug 22 17:52:57 CST 2025","1304","test_vps","test_delete","TestDeleteUser","","","跟单软件看板-VPS数据-删除跟单账号",""
"passed","Fri Aug 22 17:53:08 CST 2025","Fri Aug 22 17:53:10 CST 2025","1316","test_vps","test_delete","TestDeleteUser","","","跟单软件看板-VPS数据-删除策略账号",""
"passed","Fri Aug 22 17:52:54 CST 2025","Fri Aug 22 17:52:54 CST 2025","102","test_vps","test_delete","TestDeleteUser","","","数据库校验-组别列表-删除VPS组别",""
"passed","Fri Aug 22 17:53:14 CST 2025","Fri Aug 22 17:53:14 CST 2025","160","test_vps","test_delete","TestDeleteUser","","","数据库校验-品种管理-删除品种",""
"skipped","Fri Aug 22 17:52:54 CST 2025","Fri Aug 22 17:52:54 CST 2025","0","test_vps","test_delete","TestDeleteUser","","","VPS管理-VPS列表列表-强制删除VPS",""
"passed","Fri Aug 22 17:53:10 CST 2025","Fri Aug 22 17:53:10 CST 2025","105","test_vps","test_delete","TestDeleteUser","","","数据库校验-VPS数据-删除策略账号",""
"skipped","Fri Aug 22 17:52:54 CST 2025","Fri Aug 22 17:52:54 CST 2025","0","test_vps","test_delete","TestDeleteUser","","","VPS管理-VPS列表列表-删除VPS数据",""
"passed","Fri Aug 22 17:52:59 CST 2025","Fri Aug 22 17:53:05 CST 2025","6658","test_vps","test_delete","TestDeleteUser","","","跟单软件看板-VPS数据-批量删除跟单账号",""
"passed","Fri Aug 22 17:53:20 CST 2025","Fri Aug 22 17:53:31 CST 2025","10922","test_vps","test_delete","TestDeleteUser","","","账号管理-账号列表-批量删除账号","测试批量删除用户接口"
"passed","Fri Aug 22 17:53:18 CST 2025","Fri Aug 22 17:53:18 CST 2025","95","test_vps","test_delete","TestDeleteUser","","","数据库校验-账号列表-删除账号",""
"passed","Fri Aug 22 17:53:12 CST 2025","Fri Aug 22 17:53:13 CST 2025","1546","test_vps","test_delete","TestDeleteUser","","","平台管理-品种管理-删除品种","测试删除用户接口"
"passed","Fri Aug 22 17:53:06 CST 2025","Fri Aug 22 17:53:07 CST 2025","1135","test_vps","test_delete","TestDeleteUser","","","数据库校验-VPS数据-批量删除跟单账号",""
"passed","Fri Aug 22 17:52:57 CST 2025","Fri Aug 22 17:52:57 CST 2025","161","test_vps","test_delete","TestDeleteUser","","","数据库校验-VPS数据-删除跟单账号",""
"passed","Fri Aug 22 17:53:16 CST 2025","Fri Aug 22 17:53:18 CST 2025","1566","test_vps","test_delete","TestDeleteUser","","","账号管理-账号列表-删除账号","测试删除用户接口"
"skipped","Fri Aug 22 17:52:54 CST 2025","Fri Aug 22 17:52:54 CST 2025","0","test_vps","test_delete","TestDeleteUser","","","数据库校验-VPS列表列表-删除VPS",""
"passed","Fri Aug 22 17:53:31 CST 2025","Fri Aug 22 17:53:32 CST 2025","689","test_vps","test_delete","TestDeleteUser","","","数据库校验-账号列表-批量删除账号","数据库校验批量删除结果"
