"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jun 26 18:28:13 CST 2025","Thu Jun 26 18:28:13 CST 2025","0","tests","test_vps_ordersend","TestCreate","","","跟单软件看板-VPS数据-新增策略账号",""
"skipped","Thu Jun 26 18:28:13 CST 2025","Thu Jun 26 18:28:13 CST 2025","0","tests","test_vps_ordersend","TestCreate","","","跟单软件看板-VPS数据-新增跟单账号",""
"skipped","Thu Jun 26 18:28:13 CST 2025","Thu Jun 26 18:28:13 CST 2025","0","tests","test_vps_ordersend","TestCreate","","","数据库校验-VPS数据-新增策略账号",""
"skipped","Thu Jun 26 18:28:13 CST 2025","Thu Jun 26 18:28:13 CST 2025","0","tests","test_vps_ordersend","TestCreate","","","数据库校验-VPS数据-新增跟单账号",""
"passed","Thu Jun 26 18:28:14 CST 2025","Thu Jun 26 18:28:14 CST 2025","53","tests","test_vps_ordersend","TestCreate","","","数据库校验-策略开仓-持仓检查",""
"passed","Thu Jun 26 18:28:14 CST 2025","Thu Jun 26 18:28:14 CST 2025","106","tests","test_vps_ordersend","TestCreate","","","数据库校验-策略开仓-跟单开仓指令",""
"passed","Thu Jun 26 18:28:14 CST 2025","Thu Jun 26 18:28:17 CST 2025","3080","tests","test_vps_ordersend","TestCreate","","","跟单软件看板-VPS数据-策略平仓",""
"passed","Thu Jun 26 18:28:13 CST 2025","Thu Jun 26 18:28:13 CST 2025","102","tests","test_vps_ordersend","TestCreate","","","数据库校验-策略开仓-策略开仓指令",""
"passed","Thu Jun 26 18:28:17 CST 2025","Thu Jun 26 18:28:17 CST 2025","108","tests","test_vps_ordersend","TestCreate","","","数据库校验-策略平仓-策略平仓指令",""
"passed","Thu Jun 26 18:28:13 CST 2025","Thu Jun 26 18:28:13 CST 2025","285","tests","test_vps_ordersend","TestCreate","","","跟单软件看板-VPS数据-策略开仓",""
