"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Sep 05 10:33:42 CST 2025","Fri Sep 05 10:33:42 CST 2025","0","test_vps","test_delete","TestDeleteUser","","","VPS管理-VPS列表列表-删除VPS数据",""
"passed","Fri Sep 05 10:33:45 CST 2025","Fri Sep 05 10:33:45 CST 2025","157","test_vps","test_delete","TestDeleteUser","","","数据库校验-VPS数据-删除跟单账号",""
"passed","Fri Sep 05 10:34:01 CST 2025","Fri Sep 05 10:34:01 CST 2025","169","test_vps","test_delete","TestDeleteUser","","","数据库校验-品种管理-删除品种",""
"skipped","Fri Sep 05 10:33:42 CST 2025","Fri Sep 05 10:33:42 CST 2025","0","test_vps","test_delete","TestDeleteUser","","","VPS管理-VPS列表列表-强制删除VPS",""
"passed","Fri Sep 05 10:34:04 CST 2025","Fri Sep 05 10:34:04 CST 2025","109","test_vps","test_delete","TestDeleteUser","","","数据库校验-账号列表-删除账号",""
"passed","Fri Sep 05 10:34:06 CST 2025","Fri Sep 05 10:34:17 CST 2025","11253","test_vps","test_delete","TestDeleteUser","","","账号管理-账号列表-批量删除账号","测试批量删除用户接口"
"passed","Fri Sep 05 10:33:56 CST 2025","Fri Sep 05 10:33:57 CST 2025","1301","test_vps","test_delete","TestDeleteUser","","","跟单软件看板-VPS数据-删除策略账号",""
"passed","Fri Sep 05 10:33:40 CST 2025","Fri Sep 05 10:33:41 CST 2025","1539","test_vps","test_delete","TestDeleteUser","","","账号管理-组别列表-删除VPS组别",""
"passed","Fri Sep 05 10:33:47 CST 2025","Fri Sep 05 10:33:53 CST 2025","6602","test_vps","test_delete","TestDeleteUser","","","跟单软件看板-VPS数据-批量删除跟单账号",""
"passed","Fri Sep 05 10:33:54 CST 2025","Fri Sep 05 10:33:55 CST 2025","907","test_vps","test_delete","TestDeleteUser","","","数据库校验-VPS数据-批量删除跟单账号",""
"passed","Fri Sep 05 10:33:59 CST 2025","Fri Sep 05 10:34:00 CST 2025","1548","test_vps","test_delete","TestDeleteUser","","","平台管理-品种管理-删除品种","测试删除用户接口"
"skipped","Fri Sep 05 10:33:42 CST 2025","Fri Sep 05 10:33:42 CST 2025","0","test_vps","test_delete","TestDeleteUser","","","VPS管理-VPS列表列表-清空VPS数据",""
"passed","Fri Sep 05 10:33:58 CST 2025","Fri Sep 05 10:33:58 CST 2025","114","test_vps","test_delete","TestDeleteUser","","","数据库校验-VPS数据-删除策略账号",""
"passed","Fri Sep 05 10:34:02 CST 2025","Fri Sep 05 10:34:04 CST 2025","1522","test_vps","test_delete","TestDeleteUser","","","账号管理-账号列表-删除账号","测试删除用户接口"
"passed","Fri Sep 05 10:33:43 CST 2025","Fri Sep 05 10:33:45 CST 2025","1365","test_vps","test_delete","TestDeleteUser","","","跟单软件看板-VPS数据-删除跟单账号",""
"passed","Fri Sep 05 10:33:42 CST 2025","Fri Sep 05 10:33:42 CST 2025","102","test_vps","test_delete","TestDeleteUser","","","数据库校验-组别列表-删除VPS组别",""
"passed","Fri Sep 05 10:34:18 CST 2025","Fri Sep 05 10:34:18 CST 2025","738","test_vps","test_delete","TestDeleteUser","","","数据库校验-账号列表-批量删除账号","数据库校验批量删除结果"
"skipped","Fri Sep 05 10:33:42 CST 2025","Fri Sep 05 10:33:42 CST 2025","0","test_vps","test_delete","TestDeleteUser","","","数据库校验-VPS列表列表-删除VPS",""
