INFO     2025-09-16 09:15:43 [template.conftest;342]  : [2025-09-16 09:15:43] 测试会话开始: 2025-09-16 09:15:43, 测试组: cloud
INFO     2025-09-16 09:15:43 [template.commons.variable_manager;40]  : [2025-09-16 09:15:43] 成功加载静态变量: VAR\uat_data.json
INFO     2025-09-16 09:15:43 [template.commons.variable_manager;64]  : [2025-09-16 09:15:43] 成功加载运行时变量: VAR\runtime_vars_cloud.json
INFO     2025-09-16 09:15:44 [template.commons.api_base;510]  : [2025-09-16 09:15:44] 执行SQL: SELECT id,name FROM bchain_trader_broker WHERE name = %s ORDER BY create_time DESC 
参数: ('ACY',)
INFO     2025-09-16 09:15:44 [template.commons.api_base;513]  : [2025-09-16 09:15:44] 查询成功，结果数量: 1
INFO     2025-09-16 09:15:44 [template.commons.api_base;525]  : [2025-09-16 09:15:44] 查询结果: [{"id": "1913154951468470274", "name": "ACY"}]
INFO     2025-09-16 09:15:44 [template.commons.variable_manager;111]  : [2025-09-16 09:15:43] 运行时变量已保存到: D:\pycharm_test\template\VAR\runtime_vars_cloud.json
INFO     2025-09-16 09:15:44 [template.conftest;72]  : [2025-09-16 09:15:44] 用例  开始登录，环境: uat
ERROR    2025-09-16 09:15:44 [template.conftest;189]  : 第1次登录失败: HTTPSConnectionPool(host='dev.lgcopytrade.top', port=443): Max retries exceeded with url: /api/sys/randomImage/1757985344305?_t=1757985344 (Caused by ProxyError('Unable to connect to proxy', FileNotFoundError(2, 'No such file or directory')))
ERROR    2025-09-16 09:15:54 [template.conftest;189]  : 第2次登录失败: HTTPSConnectionPool(host='dev.lgcopytrade.top', port=443): Max retries exceeded with url: /api/sys/randomImage/1757985354337?_t=1757985354 (Caused by ProxyError('Unable to connect to proxy', FileNotFoundError(2, 'No such file or directory')))
ERROR    2025-09-16 09:16:04 [template.conftest;189]  : 第3次登录失败: HTTPSConnectionPool(host='dev.lgcopytrade.top', port=443): Max retries exceeded with url: /api/sys/randomImage/1757985364365?_t=1757985364 (Caused by ProxyError('Unable to connect to proxy', FileNotFoundError(2, 'No such file or directory')))
ERROR    2025-09-16 09:16:14 [template.conftest;189]  : 第4次登录失败: HTTPSConnectionPool(host='dev.lgcopytrade.top', port=443): Max retries exceeded with url: /api/sys/randomImage/1757985374389?_t=1757985374 (Caused by ProxyError('Unable to connect to proxy', FileNotFoundError(2, 'No such file or directory')))
