"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 11 13:58:40 CST 2025","Thu Sep 11 13:58:44 CST 2025","3640","test_cloudTrader","test_create","Test_create","","","任务中心-MT4绑定审核-提取数据2",""
"passed","Thu Sep 11 13:59:24 CST 2025","Thu Sep 11 13:59:29 CST 2025","5068","test_cloudTrader","test_create","Test_create","","","账号管理-跟单者账号-订阅",""
"passed","Thu Sep 11 13:59:40 CST 2025","Thu Sep 11 13:59:44 CST 2025","3669","test_cloudTrader","test_agent","Test_create","","","返佣管理-跟单分红-2级代理-USD币种",""
"passed","Thu Sep 11 13:59:20 CST 2025","Thu Sep 11 13:59:24 CST 2025","3617","test_cloudTrader","test_create","Test_create","","","跟单管理-实时跟单-检查是否有订阅记录",""
"passed","Thu Sep 11 13:59:13 CST 2025","Thu Sep 11 13:59:17 CST 2025","3644","test_cloudTrader","test_create","Test_create","","","任务中心-MT4绑定审核-提取数据2",""
"passed","Thu Sep 11 13:58:59 CST 2025","Thu Sep 11 13:59:04 CST 2025","5247","test_cloudTrader","test_create","Test_create","","","账号管理-跟随者账户-绑定账户",""
"passed","Thu Sep 11 13:59:44 CST 2025","Thu Sep 11 13:59:47 CST 2025","3680","test_cloudTrader","test_agent","Test_create","","","返佣管理-跟单分红-3级代理-USD币种",""
"passed","Thu Sep 11 14:00:04 CST 2025","Thu Sep 11 14:00:04 CST 2025","55","test_cloudTrader","test_delete","Test_delete","","","数据库查询-校验跟随者账号是否解绑成功",""
"passed","Thu Sep 11 13:59:55 CST 2025","Thu Sep 11 13:59:58 CST 2025","3649","test_cloudTrader","test_agent","Test_create","","","返佣管理-跟单分红-4级代理-JPY币种",""
"passed","Thu Sep 11 13:58:52 CST 2025","Thu Sep 11 13:58:52 CST 2025","51","test_cloudTrader","test_create","Test_create","","","数据库查询-提取数据",""
"passed","Thu Sep 11 13:59:58 CST 2025","Thu Sep 11 14:00:04 CST 2025","5392","test_cloudTrader","test_delete","Test_delete","","","账号管理-跟随者账号-解绑账户",""
"skipped","Thu Sep 11 13:58:36 CST 2025","Thu Sep 11 13:58:36 CST 2025","0","test_cloudTrader","test_create","Test_create","","","账号管理-交易员账号-账号重连",""
"passed","Thu Sep 11 13:59:17 CST 2025","Thu Sep 11 13:59:20 CST 2025","3652","test_cloudTrader","test_create","Test_create","","","任务中心-MT4绑定审核-通过",""
"passed","Thu Sep 11 13:59:09 CST 2025","Thu Sep 11 13:59:13 CST 2025","3635","test_cloudTrader","test_create","Test_create","","","任务中心-MT4绑定审核-提取数据",""
"passed","Thu Sep 11 13:59:29 CST 2025","Thu Sep 11 13:59:33 CST 2025","3658","test_cloudTrader","test_create","Test_create","","","跟单管理-实时跟单-检查是否有订阅记录",""
"passed","Thu Sep 11 13:58:48 CST 2025","Thu Sep 11 13:58:48 CST 2025","55","test_cloudTrader","test_create","Test_create","","","数据库查询-提取数据",""
"failed","Thu Sep 11 13:58:52 CST 2025","Thu Sep 11 13:58:55 CST 2025","3575","test_cloudTrader","test_create","Test_create","","","账号管理-跟随者账号-绑定跟随者-用户列表-提取用户id",""
"passed","Thu Sep 11 13:58:22 CST 2025","Thu Sep 11 13:58:25 CST 2025","3579","test_cloudTrader","test_create","Test_create","","","账号管理-交易员账号-绑定交易员-提取服务器ID",""
"passed","Thu Sep 11 13:57:53 CST 2025","Thu Sep 11 13:57:53 CST 2025","56","test_cloudTrader","test_create","Test_create","","","数据库查询-提取数据",""
"passed","Thu Sep 11 13:58:31 CST 2025","Thu Sep 11 13:58:36 CST 2025","5069","test_cloudTrader","test_create","Test_create","","","账号管理-交易员账号-绑定账户-已经绑定过",""
"passed","Thu Sep 11 13:58:55 CST 2025","Thu Sep 11 13:58:59 CST 2025","3600","test_cloudTrader","test_create","Test_create","","","账号管理-跟随者账号-绑定跟随者-提取服务器ID",""
"passed","Thu Sep 11 13:58:18 CST 2025","Thu Sep 11 13:58:22 CST 2025","3587","test_cloudTrader","test_create","Test_create","","","账号管理-交易员账号-绑定交易员-用户列表-提取用户id",""
"passed","Thu Sep 11 13:59:04 CST 2025","Thu Sep 11 13:59:09 CST 2025","5127","test_cloudTrader","test_create","Test_create","","","账号管理-跟随者账号-绑定账户-已经绑定过",""
"passed","Thu Sep 11 13:59:47 CST 2025","Thu Sep 11 13:59:51 CST 2025","3700","test_cloudTrader","test_agent","Test_create","","","返佣管理-跟单分红-4级代理-USD币种",""
"passed","Thu Sep 11 13:58:48 CST 2025","Thu Sep 11 13:58:51 CST 2025","3577","test_cloudTrader","test_create","Test_create","","","账号管理-交易员账号-编辑账号",""
"passed","Thu Sep 11 13:58:36 CST 2025","Thu Sep 11 13:58:40 CST 2025","4051","test_cloudTrader","test_create","Test_create","","","任务中心-MT4绑定审核-提取数据",""
"passed","Thu Sep 11 14:00:04 CST 2025","Thu Sep 11 14:00:10 CST 2025","6013","test_cloudTrader","test_delete","Test_delete","","","账号管理-交易员账号-解绑账户",""
"passed","Thu Sep 11 13:58:25 CST 2025","Thu Sep 11 13:58:31 CST 2025","5354","test_cloudTrader","test_create","Test_create","","","账号管理-交易员账号-绑定账户",""
"passed","Thu Sep 11 14:00:11 CST 2025","Thu Sep 11 14:00:11 CST 2025","50","test_cloudTrader","test_delete","Test_delete","","","数据库查询-校验交易员账号是否解绑成功",""
"passed","Thu Sep 11 13:59:51 CST 2025","Thu Sep 11 13:59:55 CST 2025","3691","test_cloudTrader","test_agent","Test_create","","","返佣管理-跟单分红-4级代理-AUD币种",""
"passed","Thu Sep 11 13:59:36 CST 2025","Thu Sep 11 13:59:40 CST 2025","3647","test_cloudTrader","test_agent","Test_create","","","返佣管理-跟单分红-1级代理-USD币种",""
"passed","Thu Sep 11 13:58:44 CST 2025","Thu Sep 11 13:58:47 CST 2025","3605","test_cloudTrader","test_create","Test_create","","","任务中心-MT4绑定审核-通过",""
"passed","Thu Sep 11 13:59:33 CST 2025","Thu Sep 11 13:59:36 CST 2025","3649","test_cloudTrader","test_agent","Test_create","","","返佣管理-跟单分红-没有代理-USD币种",""
