"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 01 11:52:28 CST 2025","Mon Dec 01 11:52:35 CST 2025","6810","test_cloudTrader","test_create","Test_create","","","账号管理-交易员账号-绑定账户",""
"passed","Mon Dec 01 11:52:20 CST 2025","Mon Dec 01 11:52:24 CST 2025","3821","test_cloudTrader","test_create","Test_create","","","账号管理-交易员账号-绑定交易员-用户列表-提取用户id",""
"skipped","Mon Dec 01 11:53:57 CST 2025","Mon Dec 01 11:53:57 CST 2025","0","test_cloudTrader","test_delete","Test_delete","","","跟单社区前端-我的账户-跟单账号解绑",""
"passed","Mon Dec 01 11:52:57 CST 2025","Mon Dec 01 11:53:01 CST 2025","3747","test_cloudTrader","test_create","Test_create","","","账号管理-交易员账号-校验策略名是否可用",""
"passed","Mon Dec 01 11:54:10 CST 2025","Mon Dec 01 11:54:10 CST 2025","50","test_cloudTrader","test_delete","Test_delete","","","数据库查询-校验交易员账号是否解绑成功",""
"passed","Mon Dec 01 11:53:47 CST 2025","Mon Dec 01 11:53:51 CST 2025","3752","test_cloudTrader","test_create","Test_create","","","跟单管理-实时跟单-检查是否有订阅记录",""
"skipped","Mon Dec 01 11:53:57 CST 2025","Mon Dec 01 11:53:57 CST 2025","0","test_cloudTrader","test_delete","Test_delete","","","跟单社区前端-我的账户-喊单账号解绑",""
"passed","Mon Dec 01 11:53:07 CST 2025","Mon Dec 01 11:53:11 CST 2025","3822","test_cloudTrader","test_create","Test_create","","","账号管理-跟随者账号-绑定跟随者-提取服务器ID",""
"passed","Mon Dec 01 11:53:54 CST 2025","Mon Dec 01 11:53:57 CST 2025","2182","test_cloudTrader","test_delete","Test_delete","","","跟单社区后台-跟单管理-实时跟单-取消订阅",""
"passed","Mon Dec 01 11:52:45 CST 2025","Mon Dec 01 11:52:49 CST 2025","3829","test_cloudTrader","test_create","Test_create","","","任务中心-MT4绑定审核-提取vpsID",""
"passed","Mon Dec 01 11:53:37 CST 2025","Mon Dec 01 11:53:41 CST 2025","3819","test_cloudTrader","test_create","Test_create","","","跟单管理-实时跟单-检查是否有订阅记录",""
"passed","Mon Dec 01 11:53:41 CST 2025","Mon Dec 01 11:53:47 CST 2025","5912","test_cloudTrader","test_create","Test_create","","","账号管理-跟单者账号-订阅",""
"passed","Mon Dec 01 11:53:28 CST 2025","Mon Dec 01 11:53:32 CST 2025","3850","test_cloudTrader","test_create","Test_create","","","任务中心-MT4绑定审核-提取数据2",""
"passed","Mon Dec 01 11:53:03 CST 2025","Mon Dec 01 11:53:07 CST 2025","3814","test_cloudTrader","test_create","Test_create","","","账号管理-跟随者账号-绑定跟随者-用户列表-提取用户id",""
"passed","Mon Dec 01 11:53:53 CST 2025","Mon Dec 01 11:53:54 CST 2025","1130","test_cloudTrader","test_delete","Test_delete","","","跟单社区前端-我的账户-跟单账号解绑-未取消订阅",""
"passed","Mon Dec 01 11:52:49 CST 2025","Mon Dec 01 11:52:53 CST 2025","3833","test_cloudTrader","test_create","Test_create","","","任务中心-MT4绑定审核-提取数据2",""
"passed","Mon Dec 01 11:53:51 CST 2025","Mon Dec 01 11:53:52 CST 2025","1246","test_cloudTrader","test_delete","Test_delete","","","跟单社区前端-登录",""
"passed","Mon Dec 01 11:52:57 CST 2025","Mon Dec 01 11:52:57 CST 2025","66","test_cloudTrader","test_create","Test_create","","","数据库查询-提取数据",""
"passed","Mon Dec 01 11:53:01 CST 2025","Mon Dec 01 11:53:03 CST 2025","1824","test_cloudTrader","test_create","Test_create","","","账号管理-交易员账号-编辑账号",""
"passed","Mon Dec 01 11:54:02 CST 2025","Mon Dec 01 11:54:10 CST 2025","7840","test_cloudTrader","test_delete","Test_delete","","","跟单社区后台-账号管理-交易员账号-解绑账户",""
"passed","Mon Dec 01 11:52:53 CST 2025","Mon Dec 01 11:52:57 CST 2025","3854","test_cloudTrader","test_create","Test_create","","","任务中心-MT4绑定审核-通过",""
"passed","Mon Dec 01 11:52:35 CST 2025","Mon Dec 01 11:52:42 CST 2025","6859","test_cloudTrader","test_create","Test_create","","","账号管理-交易员账号-绑定账户-已经绑定过",""
"passed","Mon Dec 01 11:52:24 CST 2025","Mon Dec 01 11:52:28 CST 2025","3851","test_cloudTrader","test_create","Test_create","","","账号管理-交易员账号-绑定交易员-提取服务器ID",""
"passed","Mon Dec 01 11:53:03 CST 2025","Mon Dec 01 11:53:03 CST 2025","53","test_cloudTrader","test_create","Test_create","","","数据库查询-提取数据",""
"passed","Mon Dec 01 11:53:57 CST 2025","Mon Dec 01 11:54:02 CST 2025","5297","test_cloudTrader","test_delete","Test_delete","","","跟单社区后台-账号管理-跟随者账号-解绑账户",""
"passed","Mon Dec 01 11:53:18 CST 2025","Mon Dec 01 11:53:24 CST 2025","6835","test_cloudTrader","test_create","Test_create","","","账号管理-跟随者账号-绑定账户-已经绑定过",""
"passed","Mon Dec 01 11:52:18 CST 2025","Mon Dec 01 11:52:18 CST 2025","47","test_cloudTrader","test_create","Test_create","","","数据库查询-提取数据",""
"passed","Mon Dec 01 11:53:32 CST 2025","Mon Dec 01 11:53:37 CST 2025","5014","test_cloudTrader","test_create","Test_create","","","任务中心-MT4绑定审核-通过",""
"passed","Mon Dec 01 11:53:24 CST 2025","Mon Dec 01 11:53:28 CST 2025","3870","test_cloudTrader","test_create","Test_create","","","任务中心-MT4绑定审核-提取数据",""
"passed","Mon Dec 01 11:52:42 CST 2025","Mon Dec 01 11:52:45 CST 2025","3769","test_cloudTrader","test_create","Test_create","","","任务中心-MT4绑定审核-提取数据",""
"skipped","Mon Dec 01 11:52:42 CST 2025","Mon Dec 01 11:52:42 CST 2025","0","test_cloudTrader","test_create","Test_create","","","账号管理-交易员账号-账号重连",""
"passed","Mon Dec 01 11:54:02 CST 2025","Mon Dec 01 11:54:02 CST 2025","55","test_cloudTrader","test_delete","Test_delete","","","数据库查询-校验跟随者账号是否解绑成功",""
"passed","Mon Dec 01 11:53:11 CST 2025","Mon Dec 01 11:53:18 CST 2025","6954","test_cloudTrader","test_create","Test_create","","","账号管理-跟随者账户-绑定账户",""
"passed","Mon Dec 01 11:53:52 CST 2025","Mon Dec 01 11:53:53 CST 2025","1307","test_cloudTrader","test_delete","Test_delete","","","跟单社区前端-我的账户-喊单账号解绑-未取消订阅",""
